+---------------------------------------+---------+-------------------+
|                                       | element |  cohesive_energy  |
+---------------------------------------+---------+-------------------+
|   Ag.us.pbe.z_19.uspp.gbrv.v1.4.upf   |   Ag    |  -1.966909001183  |
|    Al.us.pbe.z_3.uspp.gbrv.v1.upf     |   Al    | -3.0963059064587  |
|    As.us.pbe.z_5.uspp.gbrv.v1.upf     |   As    |  -4.405848564876  |
|    Au.us.pbe.z_11.uspp.gbrv.v1.upf    |   Au    | -2.5688590214329  |
|    B.us.pbe.z_3.uspp.gbrv.v1.4.upf    |    B    | -5.8179363013577  |
|    Ba.us.pbe.z_10.uspp.gbrv.v1.upf    |   Ba    | -1.0729329444995  |
|   Be.us.pbe.z_4.uspp.gbrv.v1.4.upf    |   Be    |   -2.1526792112   |
|    Bi.us.pbe.z_15.uspp.gbrv.v1.upf    |   Bi    | -3.7509852612061  |
|   Br.us.pbe.z_7.uspp.gbrv.v1.4.upf    |   Br    | -1.2177590702038  |
|    C.us.pbe.z_4.uspp.gbrv.v1.2.upf    |    C    | -9.1087548911121  |
|    Ca.us.pbe.z_10.uspp.gbrv.v1.upf    |   Ca    | -1.0636988294926  |
|    Cd.us.pbe.z_12.uspp.gbrv.v1.upf    |   Cd    | -0.47912491030002 |
|   Cl.us.pbe.z_7.uspp.gbrv.v1.4.upf    |   Cl    | -1.2060040926787  |
|   Co.us.pbe.z_17.uspp.gbrv.v1.2.upf   |   Co    | -5.9779239976456  |
|   Cr.us.pbe.z_14.uspp.gbrv.v1.5.upf   |   Cr    | -7.2960842291018  |
|    Cs.us.pbe.z_9.uspp.gbrv.v1.upf     |   Cs    | -0.68801146269311 |
|   Cu.us.pbe.z_19.uspp.gbrv.v1.2.upf   |   Cu    |  -2.790588258139  |
|    F.us.pbe.z_7.uspp.gbrv.v1.4.upf    |    F    | -1.1988559343638  |
|   Fe.us.pbe.z_16.uspp.gbrv.v1.5.upf   |   Fe    | -7.1529418077548  |
|   Ga.us.pbe.z_19.uspp.gbrv.v1.4.upf   |   Ga    | -2.7023769803636  |
|   Ge.us.pbe.z_14.uspp.gbrv.v1.4.upf   |   Ge    | -4.5243310101273  |
|    H.us.pbe.z_1.uspp.gbrv.v1.4.upf    |    H    |  -2.614796802763  |
| Hf.us.pbe.z_12.uspp.gbrv.plus4_v1.upf |   Hf    | -4.8648146700498  |
|    Hf.us.pbe.z_12.uspp.gbrv.v1.upf    |   Hf    | -4.9135403937171  |
|    Hg.us.pbe.z_12.uspp.gbrv.v1.upf    |   Hg    | -0.11387460565015 |
|     I.us.pbe.z_7.uspp.gbrv.v1.upf     |    I    | -1.1951230767937  |
|   In.us.pbe.z_13.uspp.gbrv.v1.4.upf   |   In    | -2.3099667219137  |
|   Ir.us.pbe.z_15.uspp.gbrv.v1.2.upf   |   Ir    | -7.9702606081128  |
|    K.us.pbe.z_9.uspp.gbrv.v1.4.upf    |    K    | -0.81189965336307 |
|    La.us.pbe.z_11.uspp.gbrv.v1.upf    |   La    | -3.7872845664031  |
|   Li.us.pbe.z_3.uspp.gbrv.v1.4.upf    |   Li    |  -1.433822556918  |
