+-------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                     | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
+-------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
| Ag.nc.pbe.z_19.oncvpsp4.spms.v1.upf | 35.0  | 35.0  |        35.0        |   40.0   |      30.0       | 40.0  |
| Al.nc.pbe.z_3.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Ar.nc.pbe.z_8.oncvpsp4.spms.v1.upf  | 30.0  | 35.0  |        30.0        |   50.0   |      30.0       | 50.0  |
| As.nc.pbe.z_15.oncvpsp4.spms.v1.upf | 50.0  | 45.0  |        40.0        |   55.0   |      35.0       | 55.0  |
| Au.nc.pbe.z_19.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|  B.nc.pbe.z_3.oncvpsp4.spms.v1.upf  | 35.0  | 35.0  |        30.0        |   50.0   |      30.0       | 50.0  |
| Ba.nc.pbe.z_10.oncvpsp4.spms.v1.upf | 30.0  |  nan  |        30.0        |   nan    |      30.0       | 200.0 |
| Be.nc.pbe.z_4.oncvpsp4.spms.v1.upf  | 40.0  | 45.0  |        30.0        |   50.0   |      35.0       | 50.0  |
| Bi.nc.pbe.z_15.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Br.nc.pbe.z_7.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|  C.nc.pbe.z_4.oncvpsp4.spms.v1.upf  | 50.0  | 50.0  |        30.0        |   70.0   |      30.0       | 70.0  |
| Ca.nc.pbe.z_10.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        35.0        |   35.0   |      30.0       | 35.0  |
| Cd.nc.pbe.z_20.oncvpsp4.spms.v1.upf | 35.0  | 40.0  |        40.0        |   40.0   |      35.0       | 40.0  |
| Cl.nc.pbe.z_7.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        75.0        |   40.0   |      30.0       | 75.0  |
| Co.nc.pbe.z_17.oncvpsp4.spms.v1.upf | 45.0  | 45.0  |        35.0        |   55.0   |      35.0       | 55.0  |
| Cr.nc.pbe.z_14.oncvpsp4.spms.v1.upf | 50.0  | 55.0  |        40.0        |   60.0   |      35.0       | 60.0  |
| Cs.nc.pbe.z_9.oncvpsp4.spms.v1.upf  | 35.0  | 30.0  |        30.0        |   30.0   |      30.0       | 35.0  |
| Cu.nc.pbe.z_19.oncvpsp4.spms.v1.upf | 60.0  | 55.0  |        45.0        |   70.0   |      35.0       | 70.0  |
|  F.nc.pbe.z_7.oncvpsp4.spms.v1.upf  | 55.0  | 60.0  |        nan         |   75.0   |      45.0       | 200.0 |
| Fe.nc.pbe.z_16.oncvpsp4.spms.v1.upf | 45.0  | 40.0  |        30.0        |   50.0   |      35.0       | 50.0  |
| Ga.nc.pbe.z_13.oncvpsp4.spms.v1.upf | 50.0  | 55.0  |        40.0        |   60.0   |      35.0       | 60.0  |
| Ge.nc.pbe.z_14.oncvpsp4.spms.v1.upf | 40.0  | 40.0  |        30.0        |   45.0   |      30.0       | 45.0  |
|  H.nc.pbe.z_1.oncvpsp4.spms.v1.upf  | 30.0  | 45.0  |        30.0        |   60.0   |      30.0       | 60.0  |
| He.nc.pbe.z_2.oncvpsp4.spms.v1.upf  | 30.0  | 65.0  |       150.0        |   75.0   |      35.0       | 150.0 |
| Hf.nc.pbe.z_12.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Hg.nc.pbe.z_20.oncvpsp4.spms.v1.upf | 35.0  |  nan  |        30.0        |   50.0   |      35.0       | 200.0 |
|  I.nc.pbe.z_7.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| In.nc.pbe.z_13.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Ir.nc.pbe.z_17.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|  K.nc.pbe.z_9.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |       150.0        |   30.0   |      30.0       | 150.0 |
| Kr.nc.pbe.z_8.oncvpsp4.spms.v1.upf  | 30.0  | 40.0  |        30.0        |   60.0   |      35.0       | 60.0  |
| La.nc.pbe.z_11.oncvpsp4.spms.v1.upf | 35.0  | 35.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Li.nc.pbe.z_3.oncvpsp4.spms.v1.upf  | 40.0  | 45.0  |        30.0        |   55.0   |      30.0       | 55.0  |
| Mg.nc.pbe.z_10.oncvpsp4.spms.v1.upf | 45.0  | 40.0  |        30.0        |   50.0   |      30.0       | 50.0  |
| Mn.nc.pbe.z_15.oncvpsp4.spms.v1.upf | 60.0  | 60.0  |        50.0        |   70.0   |      50.0       | 70.0  |
| Mo.nc.pbe.z_14.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|  N.nc.pbe.z_5.oncvpsp4.spms.v1.upf  | 55.0  | 60.0  |        30.0        |   70.0   |      35.0       | 70.0  |
| Na.nc.pbe.z_9.oncvpsp4.spms.v1.upf  | 30.0  | 35.0  |        90.0        |   45.0   |      30.0       | 90.0  |
| Nb.nc.pbe.z_13.oncvpsp4.spms.v1.upf | 35.0  | 40.0  |        30.0        |   50.0   |      30.0       | 50.0  |
| Ne.nc.pbe.z_8.oncvpsp4.spms.v1.upf  | 40.0  | 100.0 |        60.0        |  120.0   |      35.0       | 120.0 |
| Ni.nc.pbe.z_18.oncvpsp4.spms.v1.upf | 50.0  | 55.0  |        35.0        |   60.0   |      35.0       | 60.0  |
|  O.nc.pbe.z_6.oncvpsp4.spms.v1.upf  | 55.0  | 60.0  |        45.0        |   75.0   |      50.0       | 75.0  |
| Os.nc.pbe.z_16.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|  P.nc.pbe.z_5.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Pb.nc.pbe.z_14.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Pd.nc.pbe.z_18.oncvpsp4.spms.v1.upf | 35.0  | 35.0  |        30.0        |   45.0   |      30.0       | 45.0  |
| Pt.nc.pbe.z_18.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
