+------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                          | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
+------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
| Ag.paw.pbe.z_11.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Al.paw.pbe.z_3.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Ar.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  | 30.0  | 35.0  |        30.0        |   65.0   |      30.0       | 65.0  |
| As.paw.pbe.z_15.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   60.0   |      30.0       | 60.0  |
| At.paw.pbe.z_7.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Au.paw.pbe.z_11.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|  B.paw.pbe.z_3.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Ba.paw.pbe.z_10.atompaw.jth.v1.1-std.upf | 30.0  |  nan  |       150.0        |   nan    |      30.0       | 200.0 |
| Be.paw.pbe.z_4.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Bi.paw.pbe.z_15.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   55.0   |      30.0       | 55.0  |
| Br.paw.pbe.z_7.atompaw.jth.v1.1-std.upf  | 30.0  | 55.0  |        30.0        |   30.0   |      30.0       | 55.0  |
|  C.paw.pbe.z_4.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Ca.paw.pbe.z_10.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Cd.paw.pbe.z_12.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |  120.0   |      30.0       | 120.0 |
| Ce.paw.pbe.z_12.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Cl.paw.pbe.z_7.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Co.paw.pbe.z_17.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   40.0   |      30.0       | 40.0  |
| Cr.paw.pbe.z_14.atompaw.jth.v1.1-std.upf | 35.0  | 50.0  |        30.0        |   40.0   |      30.0       | 50.0  |
| Cs.paw.pbe.z_9.atompaw.jth.v1.1-std.upf  | 40.0  | 80.0  |        30.0        |  100.0   |      30.0       | 100.0 |
| Cu.paw.pbe.z_19.atompaw.jth.v1.1-std.upf | 30.0  | 50.0  |        30.0        |  150.0   |      30.0       | 150.0 |
| Dy.paw.pbe.z_20.atompaw.jth.v1.1-std.upf | 30.0  | 100.0 |        30.0        |  120.0   |      30.0       | 120.0 |
