+----------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                              | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
+----------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|    Ac.us.pbe.z_11.ld1.psl.v1.0.0-high.upf    | 35.0  | 30.0  |        30.0        |   30.0   |      30.0       | 35.0  |
|    Ag.us.pbe.z_19.ld1.psl.v1.0.0-high.upf    | 45.0  | 55.0  |        nan         |   90.0   |      35.0       | 200.0 |
|    Al.us.pbe.z_3.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        nan         |   30.0   |      30.0       | 200.0 |
|    Am.us.pbe.z_17.ld1.psl.v1.0.0-high.upf    | 35.0  | 35.0  |        nan         |   40.0   |      30.0       | 200.0 |
|    Ar.us.pbe.z_8.ld1.psl.v1.0.0-high.upf     | 30.0  | 50.0  |        55.0        |  100.0   |      35.0       | 100.0 |
|    As.us.pbe.z_15.ld1.psl.v1.0.0-high.upf    | 35.0  | 30.0  |        30.0        |   55.0   |      30.0       | 55.0  |
|    At.us.pbe.z_17.ld1.psl.v1.0.0-high.upf    | 40.0  | 75.0  |       150.0        |  100.0   |      35.0       | 150.0 |
|    Au.us.pbe.z_33.ld1.psl.v1.0.0-high.upf    | 45.0  | 40.0  |        nan         |   80.0   |      30.0       | 200.0 |
|     B.us.pbe.z_3.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        nan         |   30.0   |      30.0       | 200.0 |
|    Ba.us.pbe.z_10.ld1.psl.v1.0.0-high.upf    | 30.0  |  nan  |        30.0        |   nan    |      30.0       | 200.0 |
|    Be.us.pbe.z_4.ld1.psl.v1.0.0-high.upf     | 65.0  | 100.0 |        60.0        |   70.0   |      45.0       | 100.0 |
|    Bi.us.pbe.z_15.ld1.psl.v1.0.0-high.upf    | 35.0  | 40.0  |        30.0        |   65.0   |      30.0       | 65.0  |
|    Br.us.pbe.z_17.ld1.psl.v1.0.0-high.upf    | 45.0  | 70.0  |        65.0        |   80.0   |      35.0       | 80.0  |
|     C.us.pbe.z_4.ld1.psl.v1.0.0-high.upf     | 30.0  | 35.0  |        30.0        |   35.0   |      30.0       | 35.0  |
|    Ca.us.pbe.z_10.ld1.psl.v1.0.0-high.upf    | 30.0  | 30.0  |        nan         |   55.0   |      30.0       | 200.0 |
|    Cd.us.pbe.z_20.ld1.psl.v1.0.0-high.upf    | 50.0  | 75.0  |       100.0        |  100.0   |      70.0       | 100.0 |
|    Ce.us.pbe.z_22.ld1.psl.v1.0.0-high.upf    | 120.0 |  nan  |        30.0        |  150.0   |      30.0       | 200.0 |
|    Cl.us.pbe.z_7.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Co.us.pbe.z_17.ld1.psl.v1.0.0-high.upf    | 45.0  | 55.0  |        35.0        |   90.0   |       nan       | 200.0 |
|    Cr.us.pbe.z_14.ld1.psl.v1.0.0-high.upf    | 35.0  | 40.0  |        nan         |   70.0   |      30.0       | 200.0 |
|    Cs.us.pbe.z_9.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Cu.us.pbe.z_19.ld1.psl.v1.0.0-high.upf    | 50.0  | 55.0  |        30.0        |   90.0   |      35.0       | 90.0  |
|    Dy.us.pbe.z_30.ld1.psl.v1.0.0-high.upf    | 100.0 | 90.0  |        50.0        |  120.0   |      75.0       | 120.0 |
|    Er.us.pbe.z_32.ld1.psl.v1.0.0-high.upf    | 100.0 | 120.0 |       150.0        |  150.0   |      75.0       | 150.0 |
|    Eu.us.pbe.z_27.ld1.psl.v1.0.0-high.upf    | 75.0  | 90.0  |        55.0        |  120.0   |      50.0       | 120.0 |
|     F.us.pbe.z_7.ld1.psl.v1.0.0-high.upf     | 30.0  | 40.0  |        nan         |   70.0   |      30.0       | 200.0 |
|    Fe.us.pbe.z_16.ld1.psl.v1.0.0-high.upf    | 45.0  | 50.0  |        30.0        |   80.0   |      35.0       | 80.0  |
|    Fr.us.pbe.z_19.ld1.psl.v1.0.0-high.upf    | 55.0  | 150.0 |       100.0        |  150.0   |      35.0       | 150.0 |
|    Ga.us.pbe.z_13.ld1.psl.v1.0.0-high.upf    | 40.0  | 60.0  |        30.0        |   45.0   |      30.0       | 60.0  |
|    Gd.us.pbe.z_28.ld1.psl.v1.0.0-high.upf    | 90.0  |  nan  |        nan         |   nan    |      35.0       | 200.0 |
|    Ge.us.pbe.z_14.ld1.psl.v1.0.0-high.upf    | 30.0  | 35.0  |        30.0        |   55.0   |      30.0       | 55.0  |
|     H.us.pbe.z_1.ld1.psl.v1.0.0-high.upf     | 30.0  | 40.0  |        30.0        |   35.0   |      30.0       | 40.0  |
|    He.us.pbe.z_2.ld1.psl.v1.0.0-high.upf     | 30.0  | 75.0  |        30.0        |  100.0   |      35.0       | 100.0 |
| Hf.us.pbe.z_26.ld1.psl.v1.0.0-high.spfn.upf  | 40.0  | 45.0  |        60.0        |  150.0   |       nan       | 200.0 |
| Hf.us.pbe.z_36.ld1.psl.v1.0.0-high.spdfn.upf | 120.0 | 100.0 |        30.0        |  150.0   |       nan       | 200.0 |
|    Hg.us.pbe.z_20.ld1.psl.v1.0.0-high.upf    | 60.0  |  nan  |        nan         |   nan    |      100.0      | 200.0 |
|    Ho.us.pbe.z_31.ld1.psl.v1.0.0-high.upf    | 100.0 | 90.0  |        65.0        |  120.0   |      80.0       | 120.0 |
|    I.us.pbe.z_17.ld1.psl.v1.0.0-high.upf     | 50.0  | 60.0  |        30.0        |   90.0   |      30.0       | 90.0  |
|    In.us.pbe.z_13.ld1.psl.v1.0.0-high.upf    | 30.0  | 35.0  |        30.0        |   60.0   |      30.0       | 60.0  |
|    Ir.us.pbe.z_31.ld1.psl.v1.0.0-high.upf    | 65.0  | 60.0  |        30.0        |   75.0   |      30.0       | 75.0  |
|     K.us.pbe.z_9.ld1.psl.v1.0.0-high.upf     | 30.0  | 40.0  |        30.0        |   55.0   |      30.0       | 55.0  |
|    Kr.us.pbe.z_18.ld1.psl.v1.0.0-high.upf    | 40.0  | 75.0  |        80.0        |  150.0   |      35.0       | 150.0 |
| La.us.pbe.z_11.ld1.psl.v1.0.0-high.spfn.upf  | 50.0  | 50.0  |        nan         |   50.0   |      30.0       | 200.0 |
| La.us.pbe.z_21.ld1.psl.v1.0.0-high.spdfn.upf | 100.0 |  nan  |        60.0        |   nan    |       nan       | 200.0 |
|    Li.us.pbe.z_3.ld1.psl.v1.0.0-high.upf     | 55.0  | 90.0  |        30.0        |  100.0   |      30.0       | 100.0 |
|    Lu.us.pbe.z_35.ld1.psl.v1.0.0-high.upf    | 120.0 | 150.0 |        nan         |  150.0   |      75.0       | 200.0 |
|    Mg.us.pbe.z_10.ld1.psl.v1.0.0-high.upf    | 60.0  | 90.0  |        30.0        |   75.0   |      30.0       | 90.0  |
|    Mn.us.pbe.z_15.ld1.psl.v1.0.0-high.upf    | 40.0  | 40.0  |        30.0        |   75.0   |       nan       | 200.0 |
