element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ag,SPMS,19.0,35.0,35,3.76,0.11,0.14,0.08,0.1,0.13,0.17,0.21,0.36,0.06,0.26,0.12
Ag,PSL-PAW-v1-high,19.0,80.0,90,12.99,0.11,0.06,0.01,0.05,0.1,0.13,0.22,0.42,0.06,0.2,0.12
Ag,PSL-US-v1-high,19.0,80.0,90,12.99,0.13,0.13,0.15,0.18,0.22,0.17,0.23,0.44,0.1,0.21,0.13
Ag,DOJO-041-std,19.0,75.0,75,11.79,0.14,0.03,0.02,0.04,0.1,0.13,0.24,0.51,0.03,0.22,0.12
Ag,SG15,19.0,45.0,45,5.48,0.18,0.14,0.28,0.23,0.11,0.05,0.23,0.58,0.21,0.22,0.13
Ag,GBRV-1.X,19.0,75.0,100,11.79,0.34,0.25,0.17,0.21,0.34,0.3,0.48,0.94,0.18,0.45,0.28
Ag,JTH-1.1-std,11.0,30.0,30,1.0,0.35,0.22,0.15,0.19,0.33,0.22,0.51,1.01,0.13,0.4,0.29
Ag,PSL-US-v1-low,11.0,60.0,60,2.83,0.93,0.67,0.45,0.47,0.9,0.63,1.08,2.33,0.45,1.0,0.6
Ag,PSL-PAW-v1-low,11.0,60.0,60,2.83,0.95,0.65,0.43,0.45,0.88,0.62,1.11,2.42,0.42,1.01,0.62
Ag,PSL-US-v0.x,11.0,45.0,45,1.84,1.12,0.83,0.62,0.65,1.1,0.82,1.3,2.67,0.6,1.22,0.75
Ag,PSL-PAW-v0.x,11.0,45.0,45,1.84,1.13,0.86,0.65,0.67,1.13,0.84,1.3,2.68,0.63,1.22,0.77
