element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Al,PSL-PAW-v1-low,3.0,30.0,30,1.0,0.04,0.04,0.08,0.09,0.03,0.12,0.08,0.21,0.1,0.04,0.15
Al,PSL-US-v1-low,3.0,30.0,30,1.0,0.06,0.11,0.1,0.11,0.11,0.04,0.1,0.28,0.08,0.14,0.01
Al,PSL-PAW-v1-high,3.0,30.0,30,1.0,0.06,0.03,0.1,0.1,0.04,0.08,0.04,0.3,0.09,0.08,0.13
Al,JTH-1.1-std,3.0,30.0,30,1.0,0.08,0.08,0.17,0.17,0.03,0.22,0.17,0.18,0.2,0.08,0.23
Al,SG15,11.0,60.0,65,38.03,0.09,0.13,0.27,0.21,0.07,0.03,0.19,0.17,0.2,0.17,0.21
Al,PSL-US-v1-high,3.0,30.0,30,1.0,0.1,0.11,0.13,0.14,0.08,0.02,0.15,0.4,0.07,0.2,0.02
Al,PSL-US-v0.x,3.0,30.0,30,1.0,0.12,0.21,0.27,0.27,0.21,0.2,0.17,0.26,0.22,0.17,0.15
Al,SPMS,3.0,30.0,30,1.0,0.13,0.23,0.34,0.33,0.15,0.11,0.13,0.25,0.21,0.22,0.02
Al,GBRV-1.X,3.0,30.0,30,1.0,0.14,0.19,0.07,0.02,0.28,0.03,0.23,0.43,0.12,0.24,0.07
Al,PSL-PAW-v0.x,3.0,30.0,30,1.0,0.14,0.15,0.24,0.24,0.12,0.25,0.26,0.3,0.23,0.26,0.23
Al,DOJO-041-std,3.0,200.0,200,17.21,0.16,0.26,0.37,0.36,0.15,0.26,0.09,0.06,0.34,0.02,0.14
Al,DOJO-041-str,3.0,200.0,200,17.21,0.16,0.26,0.37,0.36,0.15,0.26,0.09,0.06,0.34,0.02,0.14
