element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
As,DOJO-041-str,23.0,100.0,100,128.78,0.03,0.06,0.11,0.17,0.11,0.02,0.04,0.15,0.05,0.04,0.01
As,JTH-1.1-std,15.0,60.0,60,25.46,0.08,0.03,0.02,0.05,0.01,0.02,0.05,0.35,0.04,0.03,0.08
As,SPMS,15.0,55.0,55,22.34,0.13,0.16,0.16,0.18,0.13,0.08,0.25,0.44,0.14,0.2,0.11
As,DOJO-041-std,15.0,75.0,75,35.58,0.17,0.04,0.05,0.07,0.03,0.04,0.17,0.62,0.05,0.11,0.05
As,PSL-PAW-v1-high,15.0,55.0,60,22.34,0.35,0.14,0.18,0.19,0.12,0.15,0.37,1.16,0.19,0.28,0.18
As,PSL-US-v1-high,15.0,55.0,60,22.34,0.39,0.15,0.18,0.18,0.12,0.14,0.38,1.28,0.19,0.28,0.18
As,SG15,5.0,30.0,30,1.0,0.57,0.37,0.15,0.13,0.37,0.06,0.7,1.72,0.09,0.48,0.21
As,GBRV-1.X,5.0,30.0,120,1.0,0.97,0.37,0.35,0.34,0.38,0.16,0.64,3.05,0.32,0.44,0.27
As,JTH-1.1-str,5.0,70.0,100,3.56,1.19,0.07,0.1,0.1,0.15,0.05,0.76,3.79,0.24,0.44,0.33
As,PSL-US-v1-low,5.0,30.0,30,1.0,1.55,0.09,0.15,0.13,0.15,0.26,1.13,4.83,0.38,0.74,0.54
As,PSL-US-v0.x,5.0,30.0,30,1.0,1.55,0.09,0.15,0.13,0.15,0.26,1.14,4.83,0.38,0.74,0.54
As,PSL-PAW-v1-low,5.0,35.0,35,1.26,1.56,0.09,0.15,0.13,0.16,0.25,1.12,4.85,0.38,0.73,0.54
As,PSL-PAW-v0.x,5.0,30.0,30,1.0,1.56,0.09,0.15,0.13,0.16,0.25,1.12,4.86,0.38,0.73,0.54
