element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Au,SPMS,19.0,30.0,30,2.98,0.04,0.06,0.15,0.15,0.09,0.03,0.12,0.21,0.13,0.14,0.04
Au,PSL-US-v1-high,33.0,200.0,200,154.92,0.07,0.19,0.22,0.21,0.22,0.1,0.06,0.02,0.16,0.07,0.11
Au,PSL-PAW-v1-high,33.0,55.0,90,22.34,0.08,0.21,0.23,0.22,0.23,0.1,0.06,0.05,0.17,0.07,0.12
Au,DOJO-041-std,19.0,60.0,65,8.44,0.15,0.31,0.32,0.31,0.33,0.18,0.13,0.09,0.26,0.14,0.18
Au,PSL-US-v1-low,11.0,30.0,35,1.0,0.25,0.37,0.36,0.35,0.43,0.24,0.27,0.5,0.3,0.27,0.27
Au,PSL-US-v1-low,19.0,55.0,75,7.41,0.25,0.37,0.36,0.35,0.43,0.24,0.27,0.5,0.3,0.27,0.27
Au,GBRV-1.X,11.0,30.0,30,1.0,0.25,0.2,0.3,0.3,0.08,0.17,0.07,0.83,0.22,0.09,0.04
Au,PSL-PAW-v1-low,11.0,30.0,35,1.0,0.27,0.39,0.39,0.37,0.45,0.25,0.28,0.52,0.32,0.28,0.28
Au,PSL-PAW-v1-low,19.0,55.0,75,7.41,0.27,0.39,0.39,0.37,0.45,0.25,0.28,0.52,0.32,0.28,0.28
Au,JTH-1.1-std,11.0,30.0,30,1.0,0.5,0.19,0.07,0.04,0.35,0.08,0.36,1.63,0.09,0.3,0.21
Au,SG15,19.0,40.0,40,4.59,0.98,1.35,1.45,1.43,1.46,0.83,0.56,0.56,1.14,0.61,0.6
Au,PSL-PAW-v0.x,11.0,30.0,35,1.0,1.75,1.35,1.11,1.04,1.73,1.04,1.64,4.25,1.05,1.57,1.19
Au,PSL-US-v0.x,11.0,30.0,35,1.0,1.76,1.36,1.12,1.04,1.74,1.04,1.65,4.26,1.05,1.58,1.2
