element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Be,PSL-PAW-v1-high,4.0,70.0,100,14.26,0.0,0.04,0.1,0.11,0.05,0.07,0.06,0.09,0.06,0.07,0.05
Be,PSL-PAW-v1-low,2.0,30.0,30,1.0,0.02,0.08,0.14,0.15,0.08,0.1,0.08,0.1,0.09,0.1,0.06
Be,PSL-PAW-v1-low,4.0,60.0,90,11.31,0.02,0.08,0.14,0.15,0.08,0.1,0.08,0.1,0.09,0.1,0.06
Be,PSL-US-v1-high,4.0,80.0,100,17.42,0.02,0.08,0.14,0.15,0.07,0.1,0.07,0.1,0.09,0.09,0.06
Be,PSL-US-v1-low,2.0,30.0,30,1.0,0.03,0.09,0.15,0.16,0.09,0.11,0.08,0.11,0.1,0.1,0.07
Be,PSL-US-v1-low,4.0,60.0,90,11.31,0.03,0.09,0.15,0.16,0.09,0.11,0.08,0.11,0.1,0.1,0.07
Be,SPMS,4.0,45.0,50,7.35,0.05,0.22,0.15,0.11,0.15,0.14,0.02,0.17,0.1,0.04,0.12
Be,GBRV-1.X,4.0,35.0,35,5.04,0.19,0.33,0.46,0.47,0.26,0.14,0.05,0.17,0.11,0.08,0.01
Be,SG15,4.0,40.0,45,6.16,0.21,0.41,0.51,0.48,0.3,0.03,0.09,0.04,0.05,0.09,0.18
Be,DOJO-041-str,4.0,90.0,100,20.78,0.22,0.37,0.51,0.51,0.27,0.19,0.06,0.24,0.12,0.11,0.03
Be,JTH-1.1-std,4.0,35.0,60,5.04,0.24,0.4,0.44,0.43,0.27,0.44,0.28,0.24,0.28,0.32,0.09
Be,DOJO-041-std,4.0,75.0,75,15.81,0.33,0.51,0.73,0.74,0.39,0.23,0.06,0.32,0.13,0.13,0.07
