element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Bi,JTH-1.1-std,15.0,50.0,55,19.36,0.12,0.15,0.11,0.1,0.2,0.18,0.22,0.4,0.15,0.19,0.2
Bi,GBRV-1.X,15.0,40.0,65,13.86,0.12,0.31,0.26,0.26,0.32,0.16,0.08,0.06,0.19,0.11,0.09
Bi,DOJO-041-str,23.0,70.0,75,75.42,0.14,0.16,0.18,0.19,0.07,0.18,0.24,0.46,0.15,0.21,0.21
Bi,SG15,15.0,35.0,35,11.34,0.31,0.13,0.17,0.18,0.05,0.05,0.39,1.0,0.07,0.34,0.26
Bi,PSL-PAW-v1-high,15.0,65.0,70,28.7,0.51,0.01,0.08,0.08,0.03,0.24,0.63,1.51,0.27,0.46,0.5
Bi,PSL-US-v1-high,15.0,65.0,70,28.7,0.53,0.04,0.11,0.11,0.01,0.25,0.65,1.55,0.29,0.48,0.51
Bi,PSL-PAW-v0.x,15.0,150.0,150,100.62,0.53,0.07,0.03,0.03,0.1,0.23,0.65,1.59,0.25,0.46,0.52
Bi,DOJO-041-std,15.0,55.0,60,22.34,0.55,0.09,0.03,0.03,0.09,0.2,0.65,1.64,0.18,0.48,0.48
Bi,SPMS,15.0,30.0,30,9.0,0.57,0.03,0.06,0.05,0.03,0.28,0.73,1.62,0.28,0.57,0.57
Bi,PSL-US-v0.x,15.0,45.0,45,16.53,1.22,0.38,0.48,0.46,0.34,0.67,1.42,3.25,0.77,1.08,1.14
Bi,DOJO-050-std,15.0,60.0,60,25.46,2.91,0.45,0.38,0.15,1.05,1.83,3.0,8.48,0.24,0.26,1.4
Bi,JTH-1.1-str,5.0,40.0,40,1.54,4.73,0.12,0.14,0.19,0.18,1.44,4.76,13.4,1.45,3.26,3.5
