element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Br,DOJO-041-str,17.0,200.0,200,101.52,0.08,0.14,0.17,0.16,0.14,0.04,0.07,0.34,0.08,0.03,0.08
Br,DOJO-041-std,7.0,35.0,120,1.26,0.1,0.15,0.17,0.17,0.15,0.09,0.04,0.39,0.13,0.05,0.1
Br,PSL-PAW-v1-high,17.0,80.0,120,25.68,0.2,0.03,0.04,0.06,0.03,0.07,0.22,0.72,0.08,0.18,0.05
Br,PSL-US-v1-high,17.0,80.0,120,25.68,0.22,0.01,0.02,0.05,0.02,0.07,0.26,0.77,0.08,0.19,0.07
Br,SPMS,7.0,30.0,30,1.0,0.23,0.12,0.13,0.13,0.11,0.04,0.16,0.81,0.07,0.15,0.02
Br,GBRV-1.X,7.0,30.0,90,1.0,0.37,0.02,0.02,0.04,0.04,0.08,0.35,1.24,0.1,0.27,0.13
Br,JTH-1.1-std,7.0,70.0,120,3.56,0.43,0.2,0.18,0.16,0.16,0.06,0.29,1.43,0.06,0.18,0.08
Br,PSL-US-v1-low,7.0,30.0,65,1.0,0.56,0.01,0.03,0.06,0.05,0.1,0.5,1.8,0.14,0.4,0.24
Br,PSL-PAW-v1-low,7.0,30.0,60,1.0,0.57,0.02,0.04,0.07,0.06,0.11,0.5,1.81,0.15,0.4,0.24
Br,PSL-US-v0.x,7.0,200.0,200,17.21,0.95,0.26,0.3,0.35,0.31,0.34,0.91,2.8,0.43,0.81,0.55
Br,PSL-PAW-v0.x,7.0,200.0,200,17.21,0.96,0.27,0.31,0.36,0.33,0.34,0.91,2.83,0.44,0.81,0.55
