element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Cd,PSL-PAW-v1-high,20.0,100.0,150,13.42,0.06,0.11,0.13,0.12,0.12,0.07,0.12,0.29,0.01,0.11,0.07
Cd,JTH-1.1-std,12.0,35.0,120,1.0,0.06,0.07,0.14,0.13,0.05,0.12,0.03,0.29,0.01,0.03,0.01
Cd,PSL-US-v1-high,20.0,100.0,150,13.42,0.07,0.04,0.07,0.04,0.01,0.09,0.13,0.3,0.03,0.11,0.08
Cd,DOJO-041-str,20.0,200.0,200,37.94,0.15,0.19,0.19,0.28,0.49,0.13,0.14,0.29,0.13,0.13,0.1
Cd,SPMS,20.0,40.0,40,3.39,0.17,0.11,0.14,0.15,0.13,0.06,0.24,0.6,0.03,0.21,0.11
Cd,SG15,20.0,35.0,35,2.78,0.25,0.43,0.46,0.44,0.46,0.1,0.28,0.27,0.31,0.2,0.16
Cd,PSL-US-v0.x,12.0,55.0,75,1.97,0.33,0.16,0.25,0.22,0.16,0.54,0.37,0.89,0.19,0.41,0.28
Cd,PSL-PAW-v0.x,12.0,55.0,55,1.97,0.34,0.06,0.13,0.11,0.07,0.41,0.41,0.99,0.18,0.42,0.28
Cd,DOJO-041-std,20.0,90.0,90,11.45,0.4,0.49,0.53,0.64,0.96,0.25,0.24,0.41,0.31,0.24,0.19
Cd,GBRV-1.X,12.0,90.0,100,4.12,0.45,0.34,0.46,0.41,0.3,0.69,0.58,0.91,0.38,0.61,0.39
Cd,PSL-US-v1-low,12.0,55.0,55,1.97,0.71,0.1,0.13,0.09,0.22,0.6,0.83,1.97,0.37,0.8,0.54
Cd,PSL-PAW-v1-low,12.0,55.0,80,1.97,0.73,0.09,0.15,0.11,0.2,0.69,0.85,1.98,0.39,0.84,0.57
