element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Cl,PSL-PAW-v1-low,7.0,60.0,60,2.83,0.0,0.04,0.03,0.04,0.04,0.01,0.01,0.03,0.02,0.02,0.12
Cl,PSL-US-v1-low,7.0,60.0,60,2.83,0.01,0.05,0.05,0.06,0.06,0.01,0.02,0.07,0.04,0.01,0.13
Cl,DOJO-041-str,7.0,45.0,75,1.84,0.02,0.1,0.13,0.13,0.11,0.03,0.02,0.01,0.08,0.01,0.14
Cl,DOJO-041-std,7.0,45.0,75,1.84,0.02,0.1,0.13,0.13,0.11,0.03,0.02,0.01,0.08,0.01,0.14
Cl,GBRV-1.X,7.0,30.0,30,1.0,0.03,0.11,0.13,0.14,0.11,0.04,0.05,0.13,0.09,0.06,0.16
Cl,PSL-US-v1-high,7.0,30.0,45,1.0,0.05,0.03,0.03,0.02,0.03,0.03,0.07,0.26,0.01,0.06,0.08
Cl,PSL-PAW-v1-high,7.0,55.0,70,2.48,0.07,0.02,0.01,0.01,0.02,0.04,0.09,0.33,0.01,0.07,0.08
Cl,SPMS,7.0,35.0,75,1.26,0.14,0.07,0.11,0.1,0.06,0.02,0.11,0.53,0.04,0.12,0.07
Cl,PSL-PAW-v0.x,7.0,30.0,45,1.0,0.16,0.33,0.31,0.31,0.37,0.15,0.11,0.04,0.22,0.12,0.21
Cl,PSL-US-v0.x,7.0,30.0,45,1.0,0.16,0.33,0.31,0.31,0.37,0.15,0.16,0.18,0.22,0.13,0.22
Cl,JTH-1.1-std,7.0,30.0,30,1.0,0.27,0.13,0.13,0.14,0.13,0.16,0.29,0.9,0.12,0.27,0.05
Cl,SG15,7.0,45.0,45,1.84,1.06,0.77,0.73,0.74,0.74,0.62,1.13,2.72,0.58,1.03,0.53
