element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Cu,PSL-PAW-v1-low,11.0,50.0,50,1.71,0.11,0.1,0.07,0.07,0.18,0.06,0.15,0.42,0.03,0.13,0.02
Cu,PSL-PAW-v1-high,19.0,90.0,100,12.3,0.16,0.33,0.31,0.31,0.35,0.18,0.16,0.24,0.18,0.17,0.09
Cu,GBRV-1.X,19.0,35.0,120,2.98,0.21,0.32,0.33,0.33,0.32,0.39,0.25,0.31,0.36,0.3,0.14
Cu,SG15,19.0,75.0,75,9.36,0.25,0.4,0.09,0.38,0.59,0.05,0.2,0.51,0.13,0.29,0.18
Cu,JTH-1.1-std,19.0,45.0,120,4.35,0.82,0.98,1.09,1.11,1.12,0.47,0.59,1.48,0.27,0.81,0.14
Cu,PSL-US-v1-low,11.0,50.0,50,1.71,0.84,2.32,0.51,0.59,0.67,0.64,0.35,0.76,0.68,0.43,0.39
Cu,PSL-PAW-v0.x,11.0,80.0,150,3.46,1.12,1.15,1.19,1.19,1.36,1.21,1.11,1.73,1.07,1.24,0.61
Cu,DOJO-041-str,19.0,200.0,200,40.75,1.33,2.11,2.31,1.94,1.28,0.26,0.24,0.43,1.85,0.92,0.3
Cu,DOJO-041-std,19.0,80.0,80,10.31,1.34,1.95,2.32,2.04,1.36,0.2,0.26,0.41,1.96,0.94,0.3
Cu,PSL-US-v0.x,11.0,40.0,45,1.22,1.49,3.03,0.42,1.47,1.44,1.6,1.06,1.64,1.65,1.23,0.85
Cu,SPMS,19.0,65.0,65,7.55,1.76,2.23,2.54,2.83,2.04,0.16,0.44,0.77,2.72,1.38,0.43
Cu,PSL-US-v1-high,19.0,90.0,100,12.3,7.7,15.38,6.82,4.9,3.9,15.32,1.12,4.25,4.48,2.09,2.17
