element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Fe,GBRV-1.X,16.0,30.0,35,4.0,0.0,0.01,0.04,0.05,0.04,0.02,0.05,0.03,0.01,0.03,0.04
Fe,DOJO-041-std,16.0,80.0,80,17.42,0.01,0.04,0.12,0.08,0.07,0.08,0.03,0.03,0.12,0.04,0.01
Fe,DOJO-041-str,16.0,200.0,200,68.85,0.04,0.09,0.2,0.17,0.11,0.07,0.05,0.01,0.13,0.07,0.04
Fe,PSL-US-v1-low,8.0,30.0,45,1.0,0.31,0.27,0.16,0.19,0.14,0.21,0.24,0.98,0.25,0.35,0.03
Fe,SPMS,16.0,50.0,50,8.61,0.31,0.5,0.08,0.1,0.78,0.1,0.33,0.37,0.54,0.24,0.19
Fe,PSL-US-v1-high,16.0,200.0,200,68.85,0.34,0.55,0.43,0.47,0.56,0.41,0.32,0.49,0.44,0.35,0.2
Fe,PSL-PAW-v0.x,16.0,75.0,80,15.81,0.51,0.54,0.44,0.42,0.79,0.55,0.56,1.0,0.49,0.61,0.3
Fe,PSL-US-v0.x,16.0,75.0,80,15.81,0.53,0.61,0.42,0.45,0.82,0.57,0.57,1.0,0.54,0.63,0.31
Fe,SG15,16.0,65.0,65,12.76,0.55,0.73,0.73,0.77,0.75,0.61,0.56,0.81,0.41,0.55,0.34
Fe,JTH-1.1-std,16.0,40.0,45,6.16,0.91,1.0,1.01,1.03,1.22,0.94,0.99,1.34,0.78,1.07,0.45
