element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ga,PSL-PAW-v1-high,13.0,60.0,60,2.83,0.04,0.02,0.08,0.08,0.04,0.05,0.12,0.22,0.01,0.14,0.04
Ga,PSL-PAW-v1-low,13.0,55.0,60,2.48,0.05,0.12,0.19,0.19,0.13,0.02,0.09,0.18,0.08,0.11,0.01
Ga,PSL-US-v1-low,13.0,55.0,60,2.48,0.05,0.11,0.18,0.19,0.14,0.02,0.11,0.22,0.08,0.11,0.01
Ga,JTH-1.1-std,13.0,30.0,30,1.0,0.06,0.07,0.01,0.02,0.07,0.07,0.15,0.26,0.02,0.18,0.03
Ga,GBRV-1.X,19.0,150.0,150,23.88,0.08,0.15,0.11,0.1,0.1,0.12,0.19,0.33,0.03,0.18,0.05
Ga,DOJO-041-std,13.0,75.0,75,3.95,0.09,0.09,0.01,0.02,0.14,0.07,0.16,0.36,0.03,0.18,0.03
Ga,DOJO-041-str,21.0,200.0,200,44.92,0.17,0.18,0.37,0.55,0.1,0.12,0.01,0.08,0.14,0.01,0.01
Ga,SG15,13.0,120.0,120,8.0,0.19,0.15,0.02,0.03,0.21,0.14,0.3,0.6,0.03,0.33,0.11
Ga,SPMS,13.0,60.0,60,2.83,0.21,0.28,0.15,0.16,0.35,0.17,0.3,0.58,0.07,0.35,0.12
Ga,PSL-US-v0.x,13.0,45.0,50,1.84,0.37,0.26,0.29,0.29,0.19,0.36,0.59,0.88,0.19,0.63,0.31
Ga,PSL-PAW-v0.x,13.0,45.0,70,1.84,0.59,0.43,0.41,0.42,0.47,0.53,0.95,1.09,0.26,1.07,0.54
Ga,PSL-US-v1-high,13.0,60.0,60,2.83,1.28,0.15,0.32,0.36,0.02,0.72,1.88,3.07,0.18,1.9,0.83
