element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ge,GBRV-1.X,14.0,35.0,35,15.44,0.04,0.12,0.14,0.21,0.13,0.08,0.03,0.05,0.14,0.04,0.12
Ge,DOJO-041-str,22.0,100.0,100,184.1,0.1,0.13,0.26,0.37,0.06,0.03,0.04,0.07,0.08,0.06,0.02
Ge,DOJO-041-std,14.0,70.0,70,43.66,0.13,0.04,0.03,0.09,0.11,0.01,0.3,0.43,0.03,0.23,0.06
Ge,SG15,14.0,40.0,40,18.86,0.16,0.29,0.23,0.16,0.26,0.02,0.1,0.51,0.11,0.04,0.03
Ge,PSL-PAW-v1-high,14.0,55.0,60,30.41,0.18,0.02,0.03,0.03,0.02,0.05,0.36,0.59,0.04,0.28,0.11
Ge,PSL-US-v1-high,14.0,55.0,60,30.41,0.19,0.02,0.03,0.03,0.03,0.06,0.34,0.62,0.05,0.27,0.09
Ge,SPMS,14.0,45.0,45,22.5,0.2,0.04,0.06,0.11,0.08,0.11,0.28,0.71,0.12,0.18,0.13
Ge,PSL-US-v0.x,14.0,45.0,50,22.5,0.29,0.03,0.03,0.05,0.03,0.09,0.54,0.82,0.08,0.41,0.2
Ge,PSL-PAW-v0.x,14.0,45.0,50,22.5,0.3,0.03,0.04,0.03,0.02,0.09,0.56,0.85,0.08,0.42,0.21
Ge,JTH-1.1-std,14.0,40.0,45,18.86,0.36,0.53,0.56,0.5,0.28,0.25,0.58,0.18,0.3,0.64,0.41
Ge,PSL-PAW-v1-low,4.0,30.0,30,1.0,1.76,0.17,0.24,0.44,0.42,0.09,2.66,4.65,0.17,1.76,0.99
Ge,PSL-US-v1-low,4.0,30.0,30,1.0,1.77,0.15,0.24,0.44,0.38,0.08,2.66,4.68,0.17,1.77,0.99
