element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Hf,PSL-PAW-v1-high,36.0,150.0,150,100.62,0.02,0.09,0.06,0.05,0.17,0.12,0.11,0.1,0.09,0.11,0.07
Hf,PSL-US-v1-high,26.0,200.0,200,80.81,0.04,0.02,0.01,0.04,0.23,0.04,0.07,0.13,0.05,0.08,0.05
Hf,DOJO-041-str,26.0,200.0,200,80.81,0.08,0.08,0.15,0.2,0.34,0.06,0.03,0.09,0.04,0.03,0.03
Hf,SG15,26.0,50.0,55,10.1,0.23,0.5,0.37,0.29,0.5,0.13,0.04,0.07,0.44,0.05,0.06
Hf,SPMS,12.0,30.0,30,1.0,0.29,0.1,0.07,0.06,0.19,0.48,0.57,0.51,0.11,0.56,0.33
Hf,DOJO-041-std,12.0,200.0,200,17.21,0.34,0.23,0.15,0.08,0.38,0.46,0.67,0.58,0.01,0.65,0.42
Hf,GBRV-1.X,12.0,35.0,40,1.26,0.55,0.4,0.4,0.27,0.44,0.87,0.96,0.65,0.25,0.87,0.76
Hf,GBRV-1.X,12.0,35.0,40,1.26,0.55,0.4,0.4,0.27,0.44,0.87,0.96,0.65,0.25,0.87,0.76
Hf,JTH-1.1-std,12.0,30.0,30,1.0,1.04,0.15,0.05,0.14,0.36,1.49,1.67,1.67,0.74,1.63,1.15
Hf,PSL-US-v1-low,12.0,45.0,50,1.84,2.37,0.8,0.63,0.8,1.35,3.53,3.46,3.28,2.03,3.33,2.54
Hf,PSL-PAW-v1-low,12.0,45.0,50,1.84,2.41,0.88,0.71,0.88,1.47,3.59,3.48,3.29,2.11,3.35,2.55
