element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Hg,GBRV-1.X,12.0,120.0,120,6.35,0.22,0.4,0.4,0.26,0.31,0.45,0.27,0.21,0.18,0.33,0.15
Hg,DOJO-041-str,20.0,80.0,80,9.6,0.28,0.4,0.47,0.58,0.64,0.16,0.14,0.12,0.23,0.14,0.16
Hg,PSL-US-v1-high,20.0,150.0,150,24.65,0.35,0.3,0.17,0.15,0.22,0.31,0.48,0.96,0.33,0.44,0.37
Hg,DOJO-041-std,20.0,60.0,65,6.23,0.4,0.52,0.64,0.83,0.85,0.18,0.15,0.12,0.26,0.16,0.18
Hg,PSL-PAW-v1-high,20.0,150.0,150,24.65,0.56,0.71,0.66,0.73,0.9,0.37,0.53,1.01,0.45,0.48,0.41
Hg,JTH-1.1-std,12.0,35.0,45,1.0,0.61,0.61,0.37,0.27,0.23,0.34,0.74,1.67,0.31,0.59,0.39
Hg,SPMS,20.0,45.0,50,4.05,0.63,0.72,0.9,1.12,1.41,0.25,0.19,0.26,0.31,0.19,0.2
Hg,PSL-US-v1-low,12.0,50.0,50,1.71,0.67,0.51,0.27,0.18,0.13,0.4,0.79,1.89,0.34,0.66,0.43
Hg,PSL-PAW-v1-low,12.0,50.0,55,1.71,0.71,0.63,0.38,0.27,0.26,0.38,0.83,1.99,0.35,0.67,0.45
Hg,PSL-US-v0.x,12.0,120.0,150,6.35,1.22,1.35,1.77,2.17,2.45,0.51,0.43,0.36,0.59,0.49,0.43
Hg,PSL-PAW-v0.x,12.0,120.0,150,6.35,1.26,1.44,1.84,2.25,2.37,0.6,0.52,0.42,0.66,0.59,0.49
