element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
I,GBRV-1.X,7.0,30.0,30,1.0,0.08,0.16,0.16,0.15,0.16,0.17,0.22,0.01,0.18,0.23,0.21
I,DOJO-050-std,7.0,60.0,60,2.83,0.38,0.36,0.39,0.42,0.37,0.37,0.55,0.82,0.41,0.45,0.43
I,SPMS,7.0,30.0,30,1.0,0.74,0.06,0.02,0.06,0.01,0.01,0.44,2.36,0.3,0.43,0.47
I,SG15,17.0,55.0,60,14.64,0.87,0.07,0.16,0.24,0.14,0.21,0.84,2.54,0.52,0.69,0.81
I,DOJO-041-std,7.0,60.0,60,2.83,1.14,0.04,0.12,0.19,0.11,0.12,0.75,3.51,0.5,0.7,0.74
I,PSL-PAW-v1-low,7.0,30.0,30,1.0,1.19,0.02,0.08,0.17,0.07,0.13,0.77,3.7,0.42,0.65,0.75
I,PSL-US-v1-low,7.0,30.0,30,1.0,1.2,0.02,0.09,0.17,0.08,0.13,0.77,3.73,0.42,0.65,0.75
I,PSL-US-v1-high,17.0,65.0,90,18.81,1.21,0.18,0.3,0.39,0.23,0.32,1.01,3.55,0.66,0.89,0.94
I,PSL-PAW-v1-high,17.0,60.0,120,16.68,1.21,0.19,0.3,0.39,0.24,0.33,1.01,3.56,0.66,0.89,0.94
I,DOJO-041-str,17.0,70.0,70,21.02,1.27,0.13,0.24,0.32,0.2,0.3,1.05,3.75,0.64,0.9,0.96
I,JTH-1.1-std,7.0,30.0,30,1.0,3.85,0.13,0.04,0.19,0.07,0.35,1.94,11.89,0.81,1.62,1.9
