element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
In,JTH-1.1-std,13.0,120.0,120,150.22,0.12,0.03,0.14,0.16,0.03,0.06,0.15,0.44,0.02,0.14,0.17
In,DOJO-041-str,21.0,200.0,200,843.45,0.14,0.09,0.17,0.13,0.18,0.15,0.26,0.47,0.18,0.26,0.14
In,PSL-US-v0.x,13.0,45.0,45,34.5,0.16,0.07,0.05,0.05,0.04,0.1,0.26,0.56,0.08,0.27,0.15
In,PSL-PAW-v0.x,13.0,45.0,45,34.5,0.21,0.05,0.03,0.03,0.04,0.13,0.35,0.63,0.1,0.37,0.2
In,DOJO-041-std,13.0,60.0,65,53.11,0.24,0.12,0.15,0.14,0.06,0.12,0.41,0.73,0.02,0.39,0.23
In,SPMS,13.0,35.0,35,23.66,0.29,0.17,0.06,0.06,0.31,0.22,0.46,0.83,0.15,0.44,0.27
In,SG15,13.0,60.0,65,53.11,0.34,0.23,0.12,0.12,0.36,0.27,0.52,0.93,0.19,0.48,0.32
In,PSL-PAW-v1-high,13.0,60.0,80,53.11,0.35,0.14,0.19,0.2,0.1,0.3,0.56,0.89,0.25,0.6,0.36
In,PSL-US-v1-high,13.0,60.0,80,53.11,0.37,0.15,0.2,0.21,0.12,0.31,0.58,0.93,0.25,0.61,0.36
In,GBRV-1.X,13.0,75.0,100,74.23,0.43,0.11,0.03,0.06,0.17,0.33,0.59,1.19,0.24,0.56,0.49
In,JTH-1.1-str,3.0,30.0,30,1.0,2.67,0.28,0.31,0.38,0.24,0.83,2.11,7.85,0.62,2.51,0.52
