element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ir,PSL-PAW-v1-high,31.0,75.0,80,46.9,0.02,0.04,0.06,0.06,0.04,0.03,0.07,0.17,0.03,0.07,0.04
Ir,PSL-US-v1-high,31.0,70.0,80,42.29,0.03,0.04,0.06,0.02,0.03,0.1,0.1,0.21,0.03,0.09,0.07
Ir,DOJO-041-std,17.0,50.0,55,7.68,0.08,0.21,0.22,0.22,0.22,0.11,0.09,0.07,0.19,0.11,0.09
Ir,SPMS,17.0,30.0,30,3.57,0.08,0.2,0.23,0.2,0.21,0.16,0.03,0.21,0.14,0.07,0.06
Ir,GBRV-1.X,15.0,30.0,35,2.78,0.11,0.02,0.05,0.0,0.11,0.13,0.06,0.46,0.06,0.09,0.06
Ir,PSL-PAW-v1-low,17.0,40.0,65,5.49,0.15,0.02,0.05,0.05,0.39,0.17,0.09,0.45,0.12,0.11,0.16
Ir,PSL-PAW-v1-low,9.0,30.0,30,1.0,0.15,0.02,0.05,0.05,0.39,0.17,0.09,0.45,0.12,0.11,0.16
Ir,JTH-1.1-std,15.0,30.0,30,2.78,0.21,0.18,0.14,0.16,0.24,0.07,0.17,0.72,0.12,0.31,0.11
Ir,PSL-US-v1-low,17.0,40.0,65,5.49,0.24,0.34,0.39,0.44,0.05,0.11,0.12,0.65,0.12,0.15,0.15
Ir,PSL-US-v1-low,9.0,30.0,30,1.0,0.24,0.34,0.39,0.44,0.05,0.11,0.12,0.65,0.12,0.15,0.15
Ir,PSL-US-v0.x,9.0,30.0,30,1.0,1.13,1.0,0.88,0.9,0.86,0.7,0.92,2.77,0.75,1.13,0.7
Ir,PSL-PAW-v0.x,9.0,30.0,30,1.0,1.13,1.01,0.89,0.91,0.87,0.71,0.92,2.77,0.75,1.13,0.69
