element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
La,PSL-PAW-v1-high,11.0,50.0,55,2.15,0.02,0.14,0.05,0.11,0.02,0.07,0.04,0.14,0.01,0.04,0.06
La,PSL-PAW-v1-high,21.0,200.0,200,62.74,0.02,0.14,0.05,0.11,0.02,0.07,0.04,0.14,0.01,0.04,0.06
La,PSL-US-v1-high,11.0,50.0,55,2.15,0.09,0.29,0.18,0.29,0.07,0.03,0.03,0.17,0.07,0.03,0.04
La,PSL-US-v1-high,21.0,200.0,200,62.74,0.09,0.29,0.18,0.29,0.07,0.03,0.03,0.17,0.07,0.03,0.04
La,DOJO-041-std,11.0,80.0,90,4.35,0.12,0.27,0.11,0.12,0.4,0.17,0.14,0.14,0.25,0.14,0.14
La,SG15,11.0,200.0,200,17.21,0.3,0.71,0.23,0.34,0.65,0.18,0.12,0.05,0.47,0.18,0.12
La,GBRV-1.X,11.0,200.0,200,17.21,0.62,1.28,0.39,0.68,1.07,0.06,0.1,0.98,0.63,0.13,0.07
La,Wentzcovitch,11.0,200.0,200,17.21,0.68,0.77,0.3,0.47,0.87,0.34,0.48,1.76,0.6,0.46,0.36
La,SPMS,11.0,35.0,35,1.26,0.99,0.33,0.26,0.34,0.4,0.43,0.71,3.04,0.36,0.62,0.56
La,JTH-1.1-std,11.0,30.0,30,1.0,1.04,0.76,0.25,0.39,1.17,0.52,0.73,2.86,0.75,0.69,0.59
