element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Li,DOJO-041-str,3.0,200.0,200,17.21,0.0,0.03,0.04,0.07,0.01,0.05,0.03,0.08,0.07,0.04,0.07
Li,PSL-PAW-v1-high,3.0,90.0,100,5.2,0.0,0.02,0.01,0.02,0.04,0.01,0.02,0.02,0.02,0.03,0.09
Li,PSL-US-v1-high,3.0,90.0,100,5.2,0.0,0.02,0.03,0.08,0.01,0.02,0.0,0.01,0.03,0.0,0.08
Li,GBRV-1.X,3.0,30.0,35,1.0,0.0,0.02,0.02,0.01,0.0,0.02,0.0,0.06,0.05,0.01,0.09
Li,PSL-US-v1-low,3.0,60.0,60,2.83,0.0,0.04,0.04,0.04,0.06,0.08,0.07,0.09,0.09,0.09,0.11
Li,PSL-PAW-v1-low,3.0,60.0,60,2.83,0.01,0.05,0.05,0.06,0.07,0.09,0.07,0.11,0.1,0.1,0.11
Li,PSL-PAW-v0.x,3.0,70.0,75,3.56,0.05,0.02,0.03,0.02,0.0,0.16,0.1,0.21,0.17,0.13,0.05
Li,PSL-US-v0.x,3.0,70.0,75,3.56,0.06,0.05,0.06,0.08,0.03,0.17,0.11,0.23,0.2,0.15,0.04
Li,DOJO-041-std,3.0,65.0,70,3.19,0.11,0.08,0.07,0.09,0.05,0.17,0.12,0.37,0.27,0.19,0.05
Li,SG15,3.0,55.0,60,2.48,0.29,0.14,0.13,0.13,0.11,0.37,0.27,0.76,0.57,0.42,0.03
Li,SPMS,3.0,50.0,50,2.15,0.47,0.21,0.2,0.2,0.18,0.58,0.43,1.08,0.85,0.63,0.0
Li,JTH-1.1-std,3.0,50.0,55,2.15,0.54,0.07,0.06,0.05,0.07,0.7,0.52,1.22,0.92,0.77,0.09
