element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Na,PSL-PAW-v0.x,9.0,50.0,55,1.71,0.01,0.0,0.01,0.0,0.01,0.05,0.05,0.12,0.03,0.03,0.05
Na,PSL-PAW-v1-low,9.0,80.0,120,3.46,0.01,0.02,0.01,0.01,0.02,0.08,0.06,0.13,0.08,0.05,0.04
Na,PSL-US-v1-low,9.0,80.0,120,3.46,0.04,0.05,0.03,0.08,0.2,0.12,0.08,0.14,0.11,0.07,0.02
Na,DOJO-041-std,9.0,80.0,80,3.46,0.11,0.11,0.08,0.11,0.27,0.23,0.17,0.3,0.24,0.19,0.05
Na,PSL-PAW-v1-high,9.0,80.0,120,3.46,0.21,0.3,0.28,0.28,0.29,0.33,0.29,0.45,0.36,0.31,0.09
Na,PSL-US-v1-high,9.0,80.0,120,3.46,0.28,0.37,0.32,0.37,0.52,0.38,0.31,0.46,0.39,0.34,0.11
Na,PSL-US-v0.x,9.0,50.0,55,1.71,0.29,0.19,0.16,0.16,0.04,0.41,0.41,0.67,0.5,0.44,0.15
Na,SG15,9.0,80.0,80,3.46,0.5,0.14,0.13,0.15,0.23,0.53,0.67,1.19,0.67,0.77,0.3
Na,GBRV-1.X,9.0,35.0,150,1.0,0.72,0.13,0.12,0.14,0.19,0.89,1.06,1.45,0.84,1.11,0.61
Na,JTH-1.1-std,9.0,65.0,100,2.53,0.86,0.19,0.21,0.2,0.17,1.07,1.13,1.75,1.17,1.22,0.62
Na,SPMS,9.0,45.0,45,1.46,1.53,1.2,1.09,1.1,1.22,1.53,1.75,2.75,1.84,1.98,0.9
