element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
O,DOJO-041-std,6.0,70.0,75,2.83,0.0,0.04,0.07,0.07,0.02,0.04,0.08,0.1,0.08,0.04,0.05
O,DOJO-041-str,6.0,75.0,80,3.14,0.0,0.05,0.07,0.08,0.03,0.05,0.08,0.06,0.08,0.05,0.06
O,PSL-PAW-v0.x,6.0,40.0,45,1.22,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01
O,PSL-US-v0.x,6.0,40.0,45,1.22,0.0,0.01,0.02,0.02,0.02,0.02,0.03,0.08,0.03,0.03,0.03
O,SPMS,6.0,70.0,75,2.83,0.0,0.04,0.06,0.07,0.01,0.04,0.07,0.1,0.07,0.04,0.05
O,SG15,6.0,75.0,80,3.14,0.04,0.08,0.03,0.02,0.07,0.08,0.03,0.23,0.03,0.06,0.05
O,PSL-US-v1-high,6.0,40.0,65,1.22,0.15,0.25,0.2,0.19,0.21,0.25,0.2,0.43,0.2,0.23,0.21
O,PSL-US-v1-low,6.0,35.0,55,1.0,0.16,0.25,0.2,0.19,0.21,0.25,0.2,0.44,0.2,0.23,0.21
O,PSL-PAW-v1-low,6.0,35.0,55,1.0,0.16,0.26,0.21,0.2,0.22,0.26,0.21,0.44,0.21,0.23,0.22
O,JTH-1.1-std,6.0,35.0,60,1.0,0.18,0.26,0.23,0.21,0.25,0.26,0.23,0.48,0.23,0.26,0.24
O,GBRV-1.X,6.0,35.0,35,1.0,0.44,0.54,0.45,0.44,0.5,0.54,0.48,0.81,0.48,0.52,0.48
