element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
P,JTH-1.1-std,5.0,120.0,120,8.0,0.0,0.03,0.06,0.03,0.06,0.02,0.02,0.1,0.04,0.04,0.08
P,GBRV-1.X,5.0,30.0,30,1.0,0.01,0.11,0.1,0.08,0.09,0.04,0.07,0.08,0.07,0.07,0.12
P,PSL-PAW-v1-high,5.0,30.0,30,1.0,0.02,0.03,0.01,0.02,0.01,0.02,0.03,0.16,0.01,0.01,0.05
P,SG15,5.0,50.0,50,2.15,0.04,0.11,0.03,0.03,0.18,0.04,0.05,0.2,0.03,0.01,0.1
P,PSL-US-v1-high,5.0,30.0,30,1.0,0.07,0.05,0.04,0.04,0.08,0.01,0.04,0.32,0.01,0.02,0.06
P,SPMS,5.0,30.0,30,1.0,0.08,0.09,0.05,0.04,0.15,0.01,0.11,0.36,0.01,0.07,0.06
P,DOJO-041-std,5.0,30.0,30,1.0,0.08,0.09,0.04,0.04,0.14,0.01,0.1,0.36,0.01,0.06,0.06
P,DOJO-041-str,5.0,30.0,30,1.0,0.08,0.09,0.04,0.04,0.14,0.01,0.1,0.36,0.01,0.06,0.06
P,PSL-US-v0.x,5.0,30.0,30,1.0,0.18,0.23,0.32,0.34,0.49,0.18,0.21,0.06,0.23,0.19,0.2
P,PSL-PAW-v0.x,5.0,30.0,30,1.0,0.2,0.3,0.35,0.36,0.55,0.2,0.18,0.11,0.24,0.18,0.17
P,PSL-PAW-v1-low,5.0,35.0,35,1.26,0.26,0.37,0.38,0.39,0.52,0.08,0.23,0.6,0.2,0.22,0.07
P,PSL-US-v1-low,5.0,35.0,35,1.26,0.27,0.38,0.39,0.39,0.52,0.09,0.23,0.63,0.21,0.23,0.06
