element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Pb,JTH-1.1-std,14.0,55.0,120,30.41,0.04,0.04,0.07,0.07,0.03,0.01,0.15,0.21,0.06,0.11,0.01
Pb,SG15,14.0,30.0,30,12.25,0.08,0.05,0.1,0.11,0.13,0.03,0.26,0.23,0.04,0.2,0.18
Pb,DOJO-041-str,22.0,70.0,75,107.82,0.18,0.14,0.14,0.15,0.05,0.18,0.31,0.55,0.13,0.26,0.32
Pb,SPMS,14.0,30.0,30,12.25,0.2,0.11,0.11,0.14,0.07,0.21,0.32,0.62,0.07,0.31,0.13
Pb,GBRV-1.X,14.0,30.0,30,12.25,0.35,0.39,0.34,0.34,0.45,0.31,0.46,0.76,0.33,0.42,0.44
Pb,PSL-PAW-v1-high,14.0,70.0,70,43.66,0.4,0.05,0.02,0.04,0.11,0.11,0.65,1.15,0.15,0.44,0.42
Pb,PSL-US-v1-high,14.0,70.0,70,43.66,0.42,0.03,0.02,0.03,0.09,0.13,0.66,1.18,0.17,0.46,0.43
Pb,PSL-PAW-v0.x,14.0,35.0,40,15.44,0.44,0.12,0.07,0.09,0.2,0.1,0.7,1.24,0.13,0.45,0.45
Pb,DOJO-041-std,14.0,45.0,50,22.5,0.51,0.12,0.11,0.13,0.12,0.1,0.81,1.42,0.09,0.52,0.49
Pb,PSL-US-v0.x,14.0,40.0,40,18.86,0.63,0.05,0.04,0.07,0.09,0.1,0.99,1.76,0.15,0.58,0.54
Pb,JTH-1.1-str,4.0,30.0,30,1.0,2.61,0.1,0.12,0.13,0.16,0.78,2.91,7.65,0.22,1.47,1.13
Pb,DOJO-050-std,14.0,90.0,100,63.65,9.41,4.98,3.02,2.1,6.63,2.58,17.89,15.53,1.04,11.38,10.97
