element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Pd,PSL-PAW-v1-high,18.0,65.0,75,8.2,0.05,0.05,0.02,0.02,0.07,0.08,0.13,0.25,0.03,0.09,0.06
Pd,PSL-US-v1-high,18.0,65.0,75,8.2,0.06,0.09,0.1,0.09,0.1,0.11,0.14,0.28,0.06,0.1,0.08
Pd,SG15,18.0,40.0,40,3.96,0.17,0.06,0.01,0.01,0.15,0.04,0.23,0.61,0.01,0.21,0.14
Pd,DOJO-041-std,18.0,200.0,200,44.26,0.19,0.23,0.39,0.34,0.21,0.12,0.14,0.5,0.18,0.09,0.02
Pd,SPMS,18.0,40.0,45,3.96,0.43,0.39,0.28,0.29,0.41,0.38,0.55,1.13,0.3,0.56,0.32
Pd,GBRV-1.X,16.0,35.0,35,2.56,0.63,0.43,0.37,0.39,0.58,0.54,0.72,1.61,0.44,0.7,0.47
Pd,PSL-US-v0.x,10.0,40.0,45,1.22,0.93,0.7,0.6,0.61,0.93,0.56,0.84,2.44,0.54,0.84,0.54
Pd,PSL-US-v1-low,10.0,40.0,45,1.22,0.94,0.8,0.71,0.71,0.92,0.63,0.87,2.34,0.6,0.89,0.53
Pd,PSL-PAW-v1-low,10.0,40.0,45,1.22,0.95,0.74,0.65,0.66,0.87,0.59,0.86,2.45,0.56,0.86,0.55
Pd,PSL-PAW-v0.x,10.0,40.0,45,1.22,0.98,0.73,0.65,0.66,0.96,0.57,0.89,2.55,0.57,0.88,0.57
Pd,JTH-1.1-std,18.0,35.0,35,3.24,2.65,3.44,3.92,4.04,3.4,1.91,1.59,1.25,2.81,1.36,1.53
