element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Pt,PSL-US-v1-high,32.0,200.0,200,176.26,0.0,0.03,0.01,0.03,0.05,0.03,0.05,0.11,0.03,0.05,0.03
Pt,PSL-PAW-v1-high,32.0,90.0,90,53.21,0.01,0.1,0.11,0.12,0.13,0.02,0.02,0.07,0.09,0.03,0.01
Pt,PSL-PAW-v1-low,10.0,30.0,30,1.0,0.03,0.12,0.14,0.14,0.15,0.05,0.02,0.06,0.11,0.02,0.04
Pt,PSL-PAW-v1-low,18.0,50.0,70,6.97,0.03,0.12,0.14,0.14,0.15,0.05,0.02,0.06,0.11,0.02,0.04
Pt,PSL-US-v1-low,10.0,30.0,30,1.0,0.03,0.13,0.15,0.15,0.15,0.06,0.02,0.08,0.11,0.03,0.04
Pt,PSL-US-v1-low,18.0,50.0,70,6.97,0.03,0.13,0.15,0.15,0.15,0.06,0.02,0.08,0.11,0.03,0.04
Pt,SPMS,18.0,30.0,35,3.24,0.09,0.18,0.21,0.21,0.24,0.16,0.08,0.2,0.19,0.08,0.1
Pt,GBRV-1.X,16.0,30.0,30,2.56,0.1,0.21,0.27,0.26,0.19,0.19,0.08,0.05,0.21,0.08,0.09
Pt,DOJO-041-std,18.0,70.0,70,11.55,0.1,0.24,0.24,0.24,0.26,0.14,0.1,0.09,0.21,0.1,0.1
Pt,SG15,18.0,40.0,40,4.99,0.33,0.52,0.56,0.55,0.57,0.36,0.23,0.34,0.46,0.25,0.23
Pt,JTH-1.1-std,10.0,30.0,30,1.0,0.57,0.14,0.04,0.06,0.29,0.07,0.21,1.88,0.03,0.25,0.15
Pt,PSL-PAW-v0.x,10.0,30.0,30,1.0,1.86,1.47,1.25,1.28,1.75,1.09,1.52,4.54,1.17,1.63,1.22
Pt,PSL-US-v0.x,10.0,30.0,30,1.0,1.87,1.48,1.25,1.29,1.77,1.09,1.53,4.54,1.18,1.64,1.22
