element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
S,DOJO-041-std,6.0,35.0,35,1.26,0.0,0.04,0.04,0.05,0.05,0.02,0.01,0.02,0.04,0.01,0.1
S,DOJO-050-std,6.0,35.0,35,1.26,0.0,0.03,0.03,0.04,0.04,0.01,0.0,0.02,0.03,0.02,0.09
S,SPMS,6.0,30.0,35,1.0,0.0,0.06,0.06,0.07,0.07,0.03,0.02,0.08,0.06,0.0,0.11
S,JTH-1.1-std,6.0,35.0,35,1.26,0.02,0.07,0.04,0.05,0.11,0.02,0.02,0.16,0.04,0.01,0.07
S,PSL-US-v1-high,6.0,30.0,30,1.0,0.05,0.04,0.05,0.04,0.02,0.02,0.02,0.27,0.01,0.03,0.07
S,GBRV-1.X,6.0,30.0,30,1.0,0.06,0.07,0.08,0.09,0.09,0.05,0.06,0.29,0.08,0.07,0.13
S,PSL-PAW-v1-high,6.0,30.0,30,1.0,0.13,0.01,0.04,0.03,0.01,0.01,0.05,0.52,0.02,0.02,0.05
S,PSL-US-v1-low,6.0,35.0,35,1.26,0.21,0.24,0.25,0.24,0.2,0.08,0.13,0.7,0.14,0.16,0.01
S,PSL-US-v0.x,6.0,30.0,30,1.0,0.29,0.47,0.44,0.46,0.61,0.23,0.34,0.1,0.35,0.28,0.28
S,PSL-PAW-v0.x,6.0,30.0,30,1.0,0.3,0.5,0.46,0.47,0.64,0.24,0.28,0.22,0.35,0.25,0.24
S,PSL-PAW-v1-low,6.0,35.0,35,1.26,0.3,0.23,0.25,0.24,0.2,0.09,0.14,1.02,0.15,0.17,0.02
S,SG15,6.0,45.0,45,1.84,0.39,0.48,0.46,0.46,0.47,0.13,0.3,1.05,0.29,0.26,0.1
