element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Sb,SG15,15.0,40.0,45,13.86,0.14,0.06,0.12,0.12,0.07,0.02,0.26,0.48,0.16,0.23,0.09
Sb,SPMS,15.0,45.0,45,16.53,0.17,0.02,0.02,0.01,0.02,0.04,0.27,0.57,0.04,0.23,0.26
Sb,GBRV-1.X,15.0,35.0,35,11.34,0.24,0.08,0.15,0.15,0.04,0.11,0.32,0.76,0.19,0.27,0.34
Sb,DOJO-041-str,23.0,90.0,90,109.95,0.3,0.28,0.34,0.25,0.36,0.19,0.35,0.75,0.37,0.31,0.39
Sb,JTH-1.1-std,15.0,30.0,35,9.0,0.31,0.05,0.05,0.05,0.09,0.19,0.4,0.96,0.16,0.33,0.36
Sb,DOJO-041-std,15.0,75.0,75,35.58,0.46,0.04,0.1,0.1,0.01,0.15,0.54,1.38,0.21,0.42,0.53
Sb,PSL-PAW-v1-low,5.0,30.0,30,1.0,0.54,0.49,0.55,0.59,0.37,0.56,0.4,1.36,0.44,0.52,0.33
Sb,PSL-US-v1-low,5.0,30.0,30,1.0,0.56,0.49,0.55,0.59,0.38,0.58,0.42,1.43,0.45,0.54,0.35
Sb,PSL-US-v1-high,15.0,70.0,100,32.08,0.69,0.29,0.4,0.4,0.23,0.32,0.78,1.85,0.49,0.65,0.8
Sb,JTH-1.1-str,5.0,30.0,30,1.0,2.58,0.11,0.32,0.28,0.24,0.34,2.08,7.56,0.94,1.43,2.21
