element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Se,DOJO-041-str,24.0,100.0,100,97.37,0.06,0.01,0.02,0.04,0.04,0.0,0.04,0.28,0.01,0.02,0.01
Se,GBRV-1.X,6.0,30.0,30,1.0,0.09,0.15,0.19,0.2,0.14,0.18,0.22,0.14,0.2,0.22,0.2
Se,DOJO-041-std,16.0,75.0,80,28.11,0.14,0.08,0.07,0.07,0.07,0.03,0.07,0.53,0.03,0.01,0.01
Se,SPMS,16.0,55.0,55,17.65,0.17,0.11,0.09,0.08,0.11,0.02,0.12,0.63,0.02,0.03,0.04
Se,SG15,6.0,30.0,30,1.0,0.24,0.08,0.13,0.15,0.05,0.11,0.12,0.84,0.11,0.06,0.01
Se,PSL-US-v1-high,16.0,80.0,150,30.97,0.33,0.05,0.09,0.08,0.05,0.07,0.22,1.12,0.11,0.17,0.11
Se,PSL-PAW-v1-high,16.0,80.0,80,30.97,0.33,0.05,0.1,0.11,0.07,0.08,0.22,1.12,0.11,0.18,0.12
Se,PSL-US-v1-low,6.0,30.0,30,1.0,1.38,0.1,0.21,0.26,0.22,0.21,0.76,4.36,0.35,0.61,0.47
Se,PSL-PAW-v1-low,6.0,30.0,30,1.0,1.41,0.1,0.21,0.27,0.23,0.22,0.76,4.46,0.35,0.62,0.47
Se,PSL-US-v0.x,6.0,30.0,30,1.0,1.58,0.27,0.4,0.47,0.39,0.33,0.97,4.88,0.52,0.81,0.62
Se,PSL-PAW-v0.x,6.0,30.0,30,1.0,1.61,0.26,0.4,0.47,0.39,0.33,0.96,4.99,0.52,0.81,0.62
