element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Si,PSL-PAW-v1-high,4.0,30.0,30,1.0,0.01,0.08,0.1,0.14,0.05,0.06,0.02,0.04,0.05,0.01,0.07
Si,PSL-US-v1-low,4.0,40.0,40,1.54,0.02,0.1,0.12,0.15,0.12,0.07,0.05,0.01,0.07,0.09,0.11
Si,PSL-PAW-v1-low,4.0,30.0,30,1.0,0.02,0.1,0.13,0.16,0.09,0.09,0.1,0.1,0.1,0.07,0.09
Si,GBRV-1.X,4.0,30.0,30,1.0,0.03,0.11,0.13,0.15,0.12,0.07,0.1,0.09,0.08,0.15,0.14
Si,PSL-US-v1-high,4.0,30.0,30,1.0,0.03,0.04,0.05,0.08,0.03,0.03,0.03,0.2,0.03,0.01,0.08
Si,PSL-US-v0.x,4.0,30.0,30,1.0,0.04,0.1,0.15,0.2,0.15,0.1,0.04,0.02,0.11,0.08,0.11
Si,PSL-PAW-v0.x,4.0,30.0,30,1.0,0.06,0.14,0.18,0.22,0.18,0.12,0.06,0.1,0.13,0.04,0.08
Si,DOJO-041-std,4.0,30.0,30,1.0,0.06,0.06,0.04,0.05,0.06,0.01,0.14,0.28,0.01,0.11,0.03
Si,DOJO-041-str,4.0,30.0,30,1.0,0.06,0.06,0.04,0.05,0.06,0.01,0.14,0.28,0.01,0.11,0.03
Si,SPMS,4.0,30.0,30,1.0,0.06,0.07,0.04,0.05,0.06,0.01,0.14,0.29,0.01,0.11,0.03
Si,SG15,4.0,30.0,30,1.0,0.17,0.2,0.05,0.07,0.29,0.09,0.27,0.56,0.13,0.22,0.07
