element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Sr,DOJO-041-std,10.0,200.0,200,17.21,0.0,0.03,0.02,0.03,0.06,0.02,0.03,0.01,0.01,0.02,0.08
Sr,DOJO-041-str,10.0,200.0,200,17.21,0.01,0.14,0.02,0.01,0.03,0.01,0.01,0.05,0.07,0.01,0.06
Sr,GBRV-1.X,10.0,30.0,30,1.0,0.02,0.17,0.08,0.06,0.01,0.02,0.02,0.01,0.05,0.02,0.07
Sr,PSL-PAW-v1-high,10.0,35.0,55,1.26,0.03,0.01,0.02,0.02,0.04,0.09,0.11,0.19,0.1,0.11,0.04
Sr,SG15,10.0,30.0,30,1.0,0.03,0.07,0.08,0.08,0.12,0.05,0.08,0.19,0.07,0.09,0.02
Sr,JTH-1.1-std,10.0,30.0,30,1.0,0.14,0.05,0.04,0.05,0.09,0.14,0.16,0.22,0.15,0.52,0.21
Sr,SPMS,10.0,30.0,30,1.0,0.18,0.36,0.28,0.3,0.49,0.18,0.13,0.06,0.18,0.13,0.15
Sr,PSL-PAW-v0.x,10.0,30.0,40,1.0,0.18,0.02,0.01,0.01,0.03,0.27,0.31,0.5,0.31,0.32,0.22
Sr,PSL-US-v0.x,10.0,30.0,40,1.0,0.19,0.04,0.0,0.01,0.02,0.27,0.31,0.51,0.32,0.32,0.23
Sr,PSL-US-v1-high,10.0,35.0,55,1.26,0.42,0.08,0.02,0.01,0.02,0.11,0.12,0.21,0.15,0.12,1.43
