element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ta,PSL-US-v1-high,27.0,60.0,60,12.2,0.0,0.03,0.03,0.01,0.11,0.05,0.01,0.02,0.03,0.0,0.01
Ta,PSL-PAW-v1-high,27.0,60.0,60,12.2,0.02,0.11,0.13,0.14,0.04,0.03,0.0,0.02,0.1,0.01,0.02
Ta,SPMS,13.0,30.0,30,1.0,0.04,0.02,0.06,0.1,0.03,0.15,0.13,0.21,0.08,0.15,0.1
Ta,GBRV-1.X,13.0,35.0,45,1.26,0.06,0.05,0.09,0.13,0.09,0.22,0.15,0.08,0.16,0.13,0.19
Ta,DOJO-041-std,13.0,45.0,45,1.84,0.08,0.03,0.04,0.07,0.06,0.16,0.2,0.29,0.07,0.21,0.16
Ta,DOJO-041-str,27.0,200.0,200,74.25,0.12,0.25,0.28,0.28,0.25,0.2,0.11,0.08,0.23,0.12,0.09
Ta,JTH-1.1-std,13.0,30.0,30,1.0,0.13,0.02,0.04,0.07,0.09,0.28,0.28,0.32,0.18,0.27,0.22
Ta,SG15,27.0,45.0,45,7.92,0.14,0.23,0.2,0.14,0.45,0.08,0.17,0.27,0.12,0.2,0.1
Ta,PSL-PAW-v0.x,13.0,30.0,35,1.0,0.83,0.48,0.46,0.5,0.56,1.28,1.18,1.27,0.76,1.18,0.94
Ta,PSL-US-v0.x,13.0,30.0,35,1.0,0.83,0.48,0.46,0.51,0.56,1.28,1.19,1.28,0.77,1.18,0.94
Ta,PSL-US-v1-low,13.0,40.0,45,1.54,0.87,0.53,0.51,0.55,0.59,1.33,1.22,1.32,0.81,1.23,0.97
Ta,PSL-PAW-v1-low,13.0,40.0,45,1.54,0.88,0.53,0.52,0.56,0.6,1.34,1.23,1.33,0.82,1.23,0.98
