element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Te,DOJO-041-str,24.0,90.0,120,83.14,0.54,0.29,0.38,0.38,0.43,0.25,0.44,1.56,0.47,0.41,0.47
Te,SPMS,16.0,45.0,45,13.06,0.69,0.03,0.15,0.23,0.06,0.18,0.52,2.15,0.31,0.43,0.54
Te,SG15,16.0,45.0,55,13.06,0.86,0.16,0.31,0.41,0.22,0.31,0.75,2.53,0.5,0.64,0.73
Te,PSL-PAW-v1-low,6.0,30.0,30,1.0,1.0,0.13,0.05,0.08,0.03,0.03,0.33,3.23,0.17,0.26,0.36
Te,DOJO-041-std,16.0,65.0,90,22.68,1.03,0.13,0.28,0.38,0.18,0.29,0.75,3.12,0.47,0.65,0.73
Te,PSL-US-v1-low,6.0,30.0,30,1.0,1.09,0.07,0.05,0.13,0.05,0.05,0.3,3.55,0.19,0.24,0.32
Te,PSL-PAW-v1-high,16.0,70.0,70,25.35,1.29,0.28,0.48,0.61,0.35,0.45,0.98,3.78,0.71,0.89,0.95
Te,PSL-US-v1-high,16.0,70.0,100,25.35,1.36,0.3,0.49,0.63,0.35,0.45,0.99,4.03,0.72,0.9,0.96
Te,JTH-1.1-std,6.0,30.0,30,1.0,2.94,0.28,0.07,0.3,0.07,0.36,1.54,9.06,0.76,1.25,1.5
Te,DOJO-050-std,16.0,65.0,70,22.68,2.94,1.14,0.78,0.8,2.47,1.99,2.35,8.18,0.89,2.09,0.59
Te,GBRV-1.X,6.0,30.0,30,1.0,3.3,0.5,0.18,0.15,0.13,0.57,1.95,10.08,0.68,1.61,1.77
