element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Tl,GBRV-1.X,13.0,60.0,150,2.83,0.05,0.16,0.11,0.1,0.2,0.07,0.04,0.22,0.12,0.01,0.13
Tl,SG15,13.0,30.0,30,1.0,0.09,0.19,0.24,0.23,0.08,0.05,0.09,0.28,0.16,0.05,0.01
Tl,JTH-1.1-std,13.0,55.0,120,2.48,0.1,0.2,0.14,0.13,0.27,0.16,0.19,0.2,0.15,0.14,0.26
Tl,SPMS,13.0,30.0,30,1.0,0.18,0.17,0.24,0.24,0.08,0.1,0.1,0.64,0.14,0.01,0.01
Tl,DOJO-041-str,21.0,75.0,75,10.31,0.23,0.19,0.11,0.14,0.06,0.23,0.36,0.66,0.16,0.33,0.35
Tl,PSL-US-v1-high,13.0,70.0,100,3.56,0.25,0.13,0.1,0.09,0.16,0.11,0.36,0.81,0.06,0.32,0.16
Tl,PSL-PAW-v1-high,13.0,70.0,100,3.56,0.26,0.13,0.11,0.1,0.16,0.1,0.36,0.83,0.04,0.32,0.17
Tl,DOJO-041-std,13.0,50.0,50,2.15,0.29,0.34,0.33,0.33,0.32,0.02,0.32,0.86,0.14,0.24,0.11
Tl,PSL-US-v0.x,13.0,40.0,60,1.54,0.3,0.2,0.17,0.17,0.23,0.09,0.4,0.94,0.02,0.35,0.19
Tl,PSL-PAW-v0.x,13.0,40.0,60,1.54,0.31,0.22,0.18,0.18,0.25,0.1,0.41,0.95,0.02,0.36,0.2
Tl,DOJO-050-std,13.0,100.0,100,6.09,10.12,9.36,5.49,6.55,9.03,9.48,13.23,7.7,1.08,15.87,14.98
