element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Zn,JTH-1.1-std,12.0,120.0,120,3.72,0.05,0.1,0.04,0.05,0.21,0.1,0.04,0.23,0.06,0.11,0.03
Zn,PSL-US-v1-low,12.0,60.0,60,1.31,0.07,0.16,0.26,0.21,0.07,0.13,0.03,0.21,0.06,0.07,0.02
Zn,PSL-PAW-v1-low,12.0,55.0,60,1.15,0.12,0.22,0.35,0.32,0.18,0.14,0.02,0.19,0.09,0.04,0.01
Zn,GBRV-1.X,20.0,50.0,150,2.78,0.16,0.15,0.11,0.16,0.14,0.36,0.29,0.42,0.16,0.32,0.16
Zn,PSL-PAW-v1-high,20.0,90.0,100,6.71,0.23,0.42,0.39,0.42,0.49,0.17,0.15,0.31,0.2,0.18,0.1
Zn,SPMS,20.0,55.0,55,3.2,0.71,0.75,1.65,0.56,0.97,0.49,0.38,1.02,0.14,0.42,0.24
Zn,SG15,20.0,60.0,60,3.65,0.75,0.5,1.55,1.04,1.51,0.4,0.16,0.68,0.12,0.15,0.15
Zn,DOJO-041-str,20.0,200.0,200,22.22,0.95,0.45,2.18,1.24,1.82,0.5,0.08,0.49,0.15,0.03,0.14
Zn,DOJO-041-std,20.0,75.0,75,5.1,0.95,0.45,2.18,1.24,1.82,0.5,0.08,0.49,0.15,0.03,0.14
Zn,PSL-US-v1-high,20.0,100.0,100,7.86,1.65,1.17,4.83,0.79,1.41,1.19,0.22,0.71,0.3,0.18,0.31
