element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,myscore,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
H,PSL-PAW-v0.x,1.0,40.0,40,1.5396,0.0,0.1,0.0173,0.0094,0.0121,0.0023,0.0448,0.0116,0.0586,0.0352,0.012,0.0924
H,PSL-PAW-v1-high,1.0,40.0,40,1.5396,0.0,0.1,0.0173,0.0094,0.0121,0.0023,0.0448,0.0116,0.0586,0.0352,0.012,0.0924
Li,DOJO-041-str,3.0,200.0,200,154.9193,0.0,1.7,0.0322,0.0378,0.0669,0.0086,0.053,0.0261,0.0778,0.0741,0.0353,0.0709
Li,PSL-PAW-v1-high,3.0,90.0,100,46.7654,0.0,0.6,0.016,0.0073,0.0167,0.0431,0.0058,0.0171,0.0157,0.0179,0.0259,0.0923
Li,PSL-US-v1-high,3.0,90.0,100,46.7654,0.0,0.6,0.0234,0.0338,0.0783,0.0111,0.0164,0.0024,0.0131,0.0263,0.0037,0.0768
Li,GBRV-1.X,3.0,30.0,35,9.0,0.0,0.0,0.0175,0.0168,0.0092,0.0014,0.0196,0.0015,0.0641,0.0473,0.0061,0.0877
O,DOJO-041-std,6.0,70.0,75,128.3121,0.0,0.4,0.0405,0.0669,0.0732,0.0173,0.0414,0.0779,0.0983,0.0779,0.0434,0.0534
O,DOJO-041-str,6.0,75.0,80,142.3025,0.0,0.45,0.048,0.0741,0.0783,0.028,0.0488,0.0814,0.0615,0.0814,0.0516,0.0632
O,PSL-PAW-v0.x,6.0,40.0,45,55.4256,0.0,0.1,0.0092,0.0091,0.0077,0.0045,0.0095,0.0112,0.0124,0.0112,0.0076,0.0101
O,PSL-US-v0.x,6.0,40.0,45,55.4256,0.0,0.1,0.0143,0.0229,0.0229,0.021,0.0153,0.025,0.0799,0.025,0.0316,0.0295
F,PSL-PAW-v0.x,7.0,65.0,75,156.2731,0.0,0.35,0.0284,0.0252,0.0451,0.0321,0.0107,0.0203,0.0485,0.0166,0.0145,0.0588
F,PSL-US-v0.x,7.0,65.0,75,156.2731,0.0,0.35,0.0379,0.0926,0.0284,0.0155,0.0062,0.0085,0.0697,0.0429,0.0066,0.0437
Mg,PSL-PAW-v1-low,10.0,80.0,80,435.4648,0.0,0.5,0.0366,0.0224,0.0279,0.0294,0.0104,0.0171,0.0247,0.0353,0.0212,0.0582
Mg,PSL-US-v1-low,10.0,80.0,80,435.4648,0.0,0.5,0.0124,0.0073,0.0171,0.0034,0.0012,0.0167,0.0193,0.0211,0.0219,0.0546
Mg,GBRV-1.X,10.0,35.0,35,126.0144,0.0,0.05,0.0262,0.0274,0.0265,0.0081,0.0143,0.0269,0.0189,0.0391,0.0273,0.0627
P,JTH-1.1-std,5.0,120.0,120,200.0,0.0,0.9,0.0327,0.059,0.0313,0.0636,0.0225,0.0174,0.0989,0.037,0.037,0.0785
S,DOJO-041-std,6.0,35.0,35,45.3652,0.0,0.05,0.04,0.0398,0.0497,0.0508,0.0191,0.0064,0.0182,0.0403,0.0124,0.0963
S,DOJO-050-std,6.0,35.0,35,45.3652,0.0,0.05,0.0287,0.0284,0.0371,0.0396,0.0123,0.0048,0.0169,0.0323,0.0185,0.0925
K,PSL-PAW-v1-high,9.0,55.0,55,201.07,0.0,0.25,0.0094,0.0029,0.0038,0.0215,0.0366,0.0483,0.0292,0.0393,0.0602,0.0929
K,PSL-US-v1-high,9.0,55.0,80,201.07,0.0,0.25,0.0443,0.0581,0.046,0.0243,0.0069,0.0241,0.0076,0.0067,0.0356,0.0788
Ca,PSL-PAW-v1-high,10.0,50.0,55,215.1657,0.0,0.2,0.0087,0.0132,0.0128,0.0202,0.0097,0.0068,0.0211,0.0572,0.0044,0.083
Sc,GBRV-1.X,11.0,30.0,30,121.0,0.0,0.0,0.036,0.0346,0.0355,0.0192,0.0556,0.0764,0.0758,0.042,0.076,0.0819
Ti,GBRV-1.X,12.0,30.0,30,144.0,0.0,0.0,0.0231,0.0152,0.0196,0.0321,0.0334,0.0553,0.0475,0.0286,0.0519,0.0338
Cr,DOJO-041-str,14.0,100.0,100,1192.818,0.0,0.7,0.027,0.0344,0.0222,0.0653,0.0468,0.0191,0.018,0.0077,0.0257,0.0494
Cr,GBRV-1.X,14.0,200.0,200,3373.7988,0.0,1.7,0.0248,0.0227,0.0232,0.0117,0.0224,0.0188,0.0321,0.0171,0.0173,0.0219
Mn,DOJO-041-std,15.0,80.0,80,979.7959,0.0,0.5,0.0314,0.0204,0.02,0.0357,0.0506,0.0115,0.0425,0.0401,0.0108,0.0049
