+---------------------------------------------+---------+---------------------+
|                                             | element |   cohesive_energy   |
+---------------------------------------------+---------+---------------------+
| Ag.nc.pbe.z_19.oncvpsp3.dojo.v0.4.1-std.upf |   Ag    |   -1.969054006483   |
| Al.nc.pbe.z_3.oncvpsp3.dojo.v0.4.1-std.upf  |   Al    |  -3.0956915414487   |
| Ar.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  |   Ar    | -0.012892821499918  |
| As.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf |   As    |  -4.4139670811564   |
| Au.nc.pbe.z_19.oncvpsp3.dojo.v0.4.1-std.upf |   Au    |  -2.5748141646827   |
|  B.nc.pbe.z_3.oncvpsp3.dojo.v0.4.1-std.upf  |    B    |  -5.8120127913517   |
| Ba.nc.pbe.z_10.oncvpsp3.dojo.v0.4.1-std.upf |   Ba    |  -1.0588920746781   |
| Be.nc.pbe.z_4.oncvpsp3.dojo.v0.4.1-std.upf  |   Be    |   -2.15047372857    |
| Bi.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf |   Bi    |  -3.7447092957063   |
| Br.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  |   Br    |  -1.2197240722188   |
|  C.nc.pbe.z_4.oncvpsp3.dojo.v0.4.1-std.upf  |    C    |  -9.0918584587571   |
| Ca.nc.pbe.z_10.oncvpsp3.dojo.v0.4.1-std.upf |   Ca    |  -1.0640169985998   |
| Cd.nc.pbe.z_20.oncvpsp3.dojo.v0.4.1-std.upf |   Cd    |  -0.45915617669925  |
| Cl.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  |   Cl    |  -1.2059523910538   |
| Co.nc.pbe.z_17.oncvpsp3.dojo.v0.4.1-std.upf |   Co    |  -5.9202950494555   |
| Cr.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf |   Cr    |  -7.3017244685625   |
| Cs.nc.pbe.z_9.oncvpsp3.dojo.v0.4.1-std.upf  |   Cs    |  -0.68810418547298  |
| Cu.nc.pbe.z_19.oncvpsp3.dojo.v0.4.1-std.upf |   Cu    |  -2.7556204742514   |
|  F.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  |    F    |  -1.1995972404737   |
| Fe.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf |   Fe    |  -7.1232210585376   |
| Ga.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf |   Ga    |  -2.7033793118139   |
| Ge.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf |   Ge    |   -4.518109399427   |
|  H.nc.pbe.z_1.oncvpsp3.dojo.v0.4.1-std.upf  |    H    |   -2.615802467467   |
| He.nc.pbe.z_2.oncvpsp3.dojo.v0.4.1-std.upf  |   He    | -0.0067052930509988 |
| Hf.nc.pbe.z_12.oncvpsp3.dojo.v0.4.1-std.upf |   Hf    |  -4.9244339947811   |
| Hg.nc.pbe.z_20.oncvpsp3.dojo.v0.4.1-std.upf |   Hg    |  -0.11372773224957  |
|  I.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  |    I    |  -1.1920307071387   |
| In.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf |   In    |  -2.3120353993638   |
| Ir.nc.pbe.z_17.oncvpsp3.dojo.v0.4.1-std.upf |   Ir    |  -8.0227840204298   |
|  K.nc.pbe.z_9.oncvpsp3.dojo.v0.4.1-std.upf  |    K    |  -0.81184672719303  |
| Kr.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  |   Kr    | -0.014089986329964  |
