+-------------------------------------+---------+---------------------+
|                                     | element |   cohesive_energy   |
+-------------------------------------+---------+---------------------+
| Ag.nc.pbe.z_19.oncvpsp4.spms.v1.upf |   Ag    |  -1.9755271864829   |
| Al.nc.pbe.z_3.oncvpsp4.spms.v1.upf  |   Al    |  -3.0949603715747   |
| Ar.nc.pbe.z_8.oncvpsp4.spms.v1.upf  |   Ar    | -0.012877242970035  |
| As.nc.pbe.z_15.oncvpsp4.spms.v1.upf |   As    |  -4.4123244660063   |
| Au.nc.pbe.z_19.oncvpsp4.spms.v1.upf |   Au    |   -2.578955056933   |
|  B.nc.pbe.z_3.oncvpsp4.spms.v1.upf  |    B    |  -5.8166028075117   |
| Ba.nc.pbe.z_10.oncvpsp4.spms.v1.upf |   Ba    |  -1.0882862873292   |
| Be.nc.pbe.z_4.oncvpsp4.spms.v1.upf  |   Be    |   -2.15390862151    |
| Bi.nc.pbe.z_15.oncvpsp4.spms.v1.upf |   Bi    |   -3.743765604956   |
| Br.nc.pbe.z_7.oncvpsp4.spms.v1.upf  |   Br    |  -1.2194316178687   |
|  C.nc.pbe.z_4.oncvpsp4.spms.v1.upf  |    C    |  -9.0905404754022   |
| Ca.nc.pbe.z_10.oncvpsp4.spms.v1.upf |   Ca    |  -1.0676130509682   |
| Cd.nc.pbe.z_20.oncvpsp4.spms.v1.upf |   Cd    |  -0.48163570465022  |
| Cl.nc.pbe.z_7.oncvpsp4.spms.v1.upf  |   Cl    |  -1.2061632112437   |
| Co.nc.pbe.z_17.oncvpsp4.spms.v1.upf |   Co    |  -5.8648326036605   |
| Cr.nc.pbe.z_14.oncvpsp4.spms.v1.upf |   Cr    |  -7.2947702594797   |
| Cs.nc.pbe.z_9.oncvpsp4.spms.v1.upf  |   Cs    |  -0.68812663484312  |
| Cu.nc.pbe.z_19.oncvpsp4.spms.v1.upf |   Cu    |  -2.7591442802441   |
|  F.nc.pbe.z_7.oncvpsp4.spms.v1.upf  |    F    |  -1.1992239683437   |
| Fe.nc.pbe.z_16.oncvpsp4.spms.v1.upf |   Fe    |  -7.0541292470521   |
| Ga.nc.pbe.z_13.oncvpsp4.spms.v1.upf |   Ga    |  -2.6999195204637   |
| Ge.nc.pbe.z_14.oncvpsp4.spms.v1.upf |   Ge    |  -4.5180687863772   |
|  H.nc.pbe.z_1.oncvpsp4.spms.v1.upf  |    H    |  -2.6158870948695   |
| He.nc.pbe.z_2.oncvpsp4.spms.v1.upf  |   He    | -0.0067042045979946 |
| Hf.nc.pbe.z_12.oncvpsp4.spms.v1.upf |   Hf    |  -4.9299729400257   |
| Hg.nc.pbe.z_20.oncvpsp4.spms.v1.upf |   Hg    |  -0.11527129790011  |
|  I.nc.pbe.z_7.oncvpsp4.spms.v1.upf  |    I    |  -1.1931722246687   |
