+---------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                             | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
+---------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
| Ag.nc.pbe.z_19.oncvpsp3.dojo.v0.4.1-std.upf | 60.0  | 60.0  |        45.0        |   80.0   |      35.0       | 80.0  |
| Al.nc.pbe.z_3.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Ar.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  | 35.0  | 55.0  |       150.0        |   65.0   |      35.0       | 150.0 |
| As.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf | 65.0  | 70.0  |        55.0        |   75.0   |      35.0       | 75.0  |
| Au.nc.pbe.z_19.oncvpsp3.dojo.v0.4.1-std.upf | 50.0  | 50.0  |        35.0        |   65.0   |      30.0       | 65.0  |
|  B.nc.pbe.z_3.oncvpsp3.dojo.v0.4.1-std.upf  | 40.0  | 50.0  |        30.0        |   55.0   |      30.0       | 55.0  |
| Ba.nc.pbe.z_10.oncvpsp3.dojo.v0.4.1-std.upf | 30.0  |  nan  |        30.0        |   nan    |      30.0       | 200.0 |
| Be.nc.pbe.z_4.oncvpsp3.dojo.v0.4.1-std.upf  | 65.0  | 65.0  |        30.0        |   80.0   |      55.0       | 80.0  |
| Bi.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf | 35.0  | 45.0  |        30.0        |   60.0   |      35.0       | 60.0  |
| Br.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 30.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|  C.nc.pbe.z_4.oncvpsp3.dojo.v0.4.1-std.upf  | 50.0  | 50.0  |        30.0        |   65.0   |      30.0       | 65.0  |
| Ca.nc.pbe.z_10.oncvpsp3.dojo.v0.4.1-std.upf | 40.0  | 50.0  |       100.0        |   65.0   |      30.0       | 100.0 |
| Cd.nc.pbe.z_20.oncvpsp3.dojo.v0.4.1-std.upf | 70.0  | 75.0  |        55.0        |  100.0   |      60.0       | 100.0 |
| Cl.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 35.0  |        75.0        |   50.0   |      30.0       | 75.0  |
| Co.nc.pbe.z_17.oncvpsp3.dojo.v0.4.1-std.upf | 75.0  | 75.0  |        55.0        |   80.0   |      55.0       | 80.0  |
| Cr.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf | 70.0  | 75.0  |       150.0        |   80.0   |      50.0       | 150.0 |
| Cs.nc.pbe.z_9.oncvpsp3.dojo.v0.4.1-std.upf  | 55.0  | 30.0  |        30.0        |   35.0   |      30.0       | 55.0  |
| Cu.nc.pbe.z_19.oncvpsp3.dojo.v0.4.1-std.upf | 70.0  | 70.0  |        55.0        |   80.0   |      35.0       | 80.0  |
|  F.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  | 60.0  | 70.0  |        45.0        |   80.0   |      45.0       | 80.0  |
| Fe.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf | 70.0  | 65.0  |        55.0        |   80.0   |      55.0       | 80.0  |
| Ga.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf | 60.0  | 60.0  |        40.0        |   75.0   |      35.0       | 75.0  |
| Ge.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf | 60.0  | 60.0  |        30.0        |   70.0   |      35.0       | 70.0  |
|  H.nc.pbe.z_1.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 45.0  |        30.0        |   60.0   |      30.0       | 60.0  |
| He.nc.pbe.z_2.oncvpsp3.dojo.v0.4.1-std.upf  | 35.0  | 75.0  |        75.0        |   80.0   |      35.0       | 80.0  |
| Hf.nc.pbe.z_12.oncvpsp3.dojo.v0.4.1-std.upf | 30.0  | 40.0  |        30.0        |   50.0   |      30.0       | 50.0  |
| Hg.nc.pbe.z_20.oncvpsp3.dojo.v0.4.1-std.upf | 45.0  |  nan  |        30.0        |   65.0   |      35.0       | 200.0 |
|  I.nc.pbe.z_7.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 30.0  |        30.0        |   60.0   |      30.0       | 60.0  |
| In.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf | 45.0  | 55.0  |        30.0        |   65.0   |      35.0       | 65.0  |
| Ir.nc.pbe.z_17.oncvpsp3.dojo.v0.4.1-std.upf | 40.0  | 35.0  |        30.0        |   55.0   |      30.0       | 55.0  |
|  K.nc.pbe.z_9.oncvpsp3.dojo.v0.4.1-std.upf  | 40.0  | 55.0  |        30.0        |   70.0   |      30.0       | 70.0  |
| Kr.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 40.0  |        30.0        |  100.0   |      35.0       | 100.0 |
| La.nc.pbe.z_11.oncvpsp3.dojo.v0.4.1-std.upf | 80.0  | 80.0  |        30.0        |   90.0   |      150.0      | 150.0 |
| Li.nc.pbe.z_3.oncvpsp3.dojo.v0.4.1-std.upf  | 50.0  | 65.0  |        30.0        |   70.0   |      30.0       | 70.0  |
| Lu.nc.pbe.z_25.oncvpsp3.dojo.v0.4.1-std.upf | 75.0  | 80.0  |        60.0        |   90.0   |      35.0       | 90.0  |
| Mg.nc.pbe.z_10.oncvpsp3.dojo.v0.4.1-std.upf | 65.0  | 70.0  |       120.0        |   80.0   |      35.0       | 120.0 |
| Mn.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf | 75.0  | 80.0  |        60.0        |   80.0   |      55.0       | 80.0  |
| Mo.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf | 40.0  | 45.0  |        30.0        |   70.0   |      30.0       | 70.0  |
|  N.nc.pbe.z_5.oncvpsp3.dojo.v0.4.1-std.upf  | 55.0  | 60.0  |        30.0        |   70.0   |      35.0       | 70.0  |
| Na.nc.pbe.z_9.oncvpsp3.dojo.v0.4.1-std.upf  | 65.0  | 120.0 |       120.0        |   80.0   |      35.0       | 120.0 |
| Nb.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf | 50.0  | 55.0  |        30.0        |   75.0   |      30.0       | 75.0  |
| Ne.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  | 50.0  | 100.0 |        60.0        |  100.0   |      35.0       | 100.0 |
| Ni.nc.pbe.z_18.oncvpsp3.dojo.v0.4.1-std.upf | 75.0  | 75.0  |        55.0        |   90.0   |      55.0       | 90.0  |
|  O.nc.pbe.z_6.oncvpsp3.dojo.v0.4.1-std.upf  | 55.0  | 60.0  |        45.0        |   75.0   |      50.0       | 75.0  |
| Os.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf | 40.0  | 45.0  |        70.0        |   60.0   |      30.0       | 70.0  |
|  P.nc.pbe.z_5.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
