+------------------------------------------+---------+---------------------+
|                                          | element |   cohesive_energy   |
+------------------------------------------+---------+---------------------+
| Ag.paw.pbe.z_11.atompaw.jth.v1.1-std.upf |   Ag    |  -1.9648514124328   |
| Al.paw.pbe.z_3.atompaw.jth.v1.1-std.upf  |   Al    |  -3.0918194296238   |
| Ar.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  |   Ar    | -0.012296416000027  |
| As.paw.pbe.z_15.atompaw.jth.v1.1-std.upf |   As    |  -4.4128328426068   |
| At.paw.pbe.z_7.atompaw.jth.v1.1-std.upf  |   At    |  -1.2599062382651   |
| Au.paw.pbe.z_11.atompaw.jth.v1.1-std.upf |   Au    |  -2.5541246017328   |
|  B.paw.pbe.z_3.atompaw.jth.v1.1-std.upf  |    B    |  -5.8073085554087   |
| Ba.paw.pbe.z_10.atompaw.jth.v1.1-std.upf |   Ba    |  -1.0452200551372   |
| Be.paw.pbe.z_4.atompaw.jth.v1.1-std.upf  |   Be    |   -2.148403486515   |
| Bi.paw.pbe.z_15.atompaw.jth.v1.1-std.upf |   Bi    |  -3.7458740106995   |
| Br.paw.pbe.z_7.atompaw.jth.v1.1-std.upf  |   Br    |   -1.219373929714   |
|  C.paw.pbe.z_4.atompaw.jth.v1.1-std.upf  |    C    |  -9.1134364735821   |
| Ca.paw.pbe.z_10.atompaw.jth.v1.1-std.upf |   Ca    |  -1.0637931170427   |
| Cd.paw.pbe.z_12.atompaw.jth.v1.1-std.upf |   Cd    |  -0.47742215800008  |
| Ce.paw.pbe.z_12.atompaw.jth.v1.1-std.upf |   Ce    |  -4.9052509219664   |
| Cl.paw.pbe.z_7.atompaw.jth.v1.1-std.upf  |   Cl    |  -1.2025538933137   |
| Co.paw.pbe.z_17.atompaw.jth.v1.1-std.upf |   Co    |  -5.9276602866821   |
| Cr.paw.pbe.z_14.atompaw.jth.v1.1-std.upf |   Cr    |  -7.2915303360555   |
| Cs.paw.pbe.z_9.atompaw.jth.v1.1-std.upf  |   Cs    |  -0.68684763183228  |
| Cu.paw.pbe.z_19.atompaw.jth.v1.1-std.upf |   Cu    |  -2.7731255569624   |
| Dy.paw.pbe.z_20.atompaw.jth.v1.1-std.upf |   Dy    |  -2.9689591489332   |
| Er.paw.pbe.z_22.atompaw.jth.v1.1-std.upf |   Er    |  -2.3926466058329   |
| Eu.paw.pbe.z_17.atompaw.jth.v1.1-std.upf |   Eu    |  -4.3990700051399   |
|  F.paw.pbe.z_7.atompaw.jth.v1.1-std.upf  |    F    |  -1.1958601651437   |
