+---------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                       | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
+---------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|   Ag.us.pbe.z_19.uspp.gbrv.v1.4.upf   | 30.0  | 30.0  |        30.0        |  100.0   |      30.0       | 100.0 |
|    Al.us.pbe.z_3.uspp.gbrv.v1.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    As.us.pbe.z_5.uspp.gbrv.v1.upf     | 30.0  | 30.0  |       120.0        |   30.0   |      30.0       | 120.0 |
|    Au.us.pbe.z_11.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    B.us.pbe.z_3.uspp.gbrv.v1.4.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Ba.us.pbe.z_10.uspp.gbrv.v1.upf    | 30.0  |  nan  |        30.0        |   nan    |      30.0       | 200.0 |
|   Be.us.pbe.z_4.uspp.gbrv.v1.4.upf    | 30.0  | 30.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|    Bi.us.pbe.z_15.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        30.0        |   60.0   |      30.0       | 60.0  |
|   Br.us.pbe.z_7.uspp.gbrv.v1.4.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    C.us.pbe.z_4.uspp.gbrv.v1.2.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Ca.us.pbe.z_10.uspp.gbrv.v1.upf    | 30.0  | 30.0  |       150.0        |   30.0   |      30.0       | 150.0 |
|    Cd.us.pbe.z_12.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        30.0        |  120.0   |      30.0       | 120.0 |
|   Cl.us.pbe.z_7.uspp.gbrv.v1.4.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|   Co.us.pbe.z_17.uspp.gbrv.v1.2.upf   | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
|   Cr.us.pbe.z_14.uspp.gbrv.v1.5.upf   | 30.0  | 30.0  |        45.0        |   35.0   |      30.0       | 45.0  |
|    Cs.us.pbe.z_9.uspp.gbrv.v1.upf     | 30.0  | 30.0  |        80.0        |   30.0   |      30.0       | 80.0  |
|   Cu.us.pbe.z_19.uspp.gbrv.v1.2.upf   | 30.0  | 35.0  |        30.0        |  150.0   |      30.0       | 150.0 |
|    F.us.pbe.z_7.uspp.gbrv.v1.4.upf    | 30.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|   Fe.us.pbe.z_16.uspp.gbrv.v1.5.upf   | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
|   Ga.us.pbe.z_19.uspp.gbrv.v1.4.upf   | 30.0  | 30.0  |        30.0        |  150.0   |      30.0       | 150.0 |
|   Ge.us.pbe.z_14.uspp.gbrv.v1.4.upf   | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
|    H.us.pbe.z_1.uspp.gbrv.v1.4.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Hf.us.pbe.z_12.uspp.gbrv.plus4_v1.upf | 30.0  | 40.0  |        30.0        |   45.0   |      30.0       | 45.0  |
|    Hf.us.pbe.z_12.uspp.gbrv.v1.upf    | 30.0  | 30.0  |       150.0        |   40.0   |      30.0       | 150.0 |
|    Hg.us.pbe.z_12.uspp.gbrv.v1.upf    | 30.0  | 150.0 |        30.0        |  150.0   |      30.0       | 150.0 |
