element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
H,GBRV-1.X,1,30,30,0.011030894805798889,0.011030894805798889,0.13,0.13,0.13,0.11,0.09,0.03,0.1,0.13,0.04,0.1,1
H,JTH-1.1-std,1,35,40,0.0006709726267444446,0.05067097262674445,0.09,0.11,0.11,0.09,0.01,0.01,0.03,0.04,0.01,0.09,1
H,PSL-PAW-v0.x,1,40,40,0.0,0.1,0.02,0.01,0.01,0.0,0.04,0.01,0.06,0.04,0.01,0.09,1
H,DOJO-041-std,1,50,60,0.013842821767139999,0.21384282176714,0.15,0.14,0.13,0.16,0.08,0.03,0.07,0.1,0.04,0.11,1
H,SG15,1,55,65,0.0,0.25,0.01,0.03,0.03,0.03,0.04,0.01,0.05,0.02,0.01,0.1,1
H,SPMS,1,55,60,0.017258465190524444,0.26725846519052443,0.16,0.14,0.14,0.16,0.09,0.03,0.08,0.1,0.04,0.11,1
H,PSL-PAW-v1-high,1,,,0.0,,0.02,0.01,0.01,0.0,0.04,0.01,0.06,0.04,0.01,0.09,1
H,PSL-US-v0.x,1,,,0.0,,0.06,0.06,0.06,0.05,0.06,0.02,0.06,0.06,0.02,0.1,1
H,PSL-US-v1-high,1,,,0.0,,0.06,0.06,0.06,0.05,0.06,0.02,0.06,0.06,0.02,0.1,1
He,SG15,2,45,45,0.2952800729823012,0.4452800729823012,0.3,0.28,0.28,0.09,0.68,0.54,1.57,0.32,0.96,0.07,2
He,JTH-1.1-std,2,75,100,0.05922755584236334,0.5092275558423633,0.05,0.03,0.05,0.06,0.3,0.16,0.67,0.21,0.27,0.06,2
He,SPMS,2,75,75,0.17556957644821003,0.6255695764482101,0.59,0.49,0.51,0.35,0.12,0.03,0.08,0.64,0.02,0.12,2
He,PSL-PAW-v1-high,2,90,90,0.026129591873341112,0.626129591873341,0.02,0.04,0.03,0.03,0.24,0.06,0.21,0.23,0.09,0.08,2
He,PSL-US-v1-high,2,90,90,0.046055896966528884,0.6460558969665289,0.05,0.09,0.16,0.25,0.21,0.04,0.19,0.25,0.09,0.09,2
He,DOJO-041-std,2,80,80,0.17786712264260215,0.6778671226426022,0.58,0.51,0.51,0.35,0.12,0.05,0.05,0.65,0.04,0.12,2
Li,GBRV-1.X,3,30,35,0.0,0.0,0.02,0.02,0.01,0.0,0.02,0.0,0.06,0.05,0.01,0.09,3
Li,PSL-US-v1-low,3,60,60,0.0,0.3,0.04,0.04,0.04,0.06,0.08,0.07,0.09,0.09,0.09,0.11,3
Li,PSL-PAW-v1-low,3,60,60,0.0011433653316511088,0.3011433653316511,0.05,0.05,0.06,0.07,0.09,0.07,0.11,0.1,0.1,0.11,3
Li,DOJO-041-std,3,65,70,0.03811961608158,0.38811961608158,0.08,0.07,0.09,0.05,0.17,0.12,0.37,0.27,0.19,0.05,3
Li,SG15,3,55,55,0.14837565572994776,0.39837565572994776,0.14,0.13,0.13,0.11,0.37,0.27,0.76,0.57,0.42,0.03,3
Li,PSL-US-v0.x,3,70,70,0.026243111461442217,0.4262431114614422,0.05,0.06,0.08,0.03,0.17,0.11,0.23,0.2,0.15,0.04,3
Li,SPMS,3,50,50,0.2763399532555522,0.47633995325555223,0.21,0.2,0.2,0.18,0.58,0.43,1.08,0.85,0.63,0.0,3
Li,JTH-1.1-std,3,50,55,0.2797631007756134,0.4797631007756134,0.07,0.06,0.05,0.07,0.7,0.52,1.22,0.92,0.77,0.09,3
Li,DOJO-041-str,3,80,90,0.0,0.5,0.03,0.04,0.07,0.01,0.05,0.03,0.08,0.07,0.04,0.07,3
Li,PSL-PAW-v1-high,3,90,100,0.0,0.6,0.02,0.01,0.02,0.04,0.01,0.02,0.02,0.02,0.03,0.09,3
Li,PSL-US-v1-high,3,90,100,0.0,0.6,0.02,0.03,0.08,0.01,0.02,0.0,0.01,0.03,0.0,0.08,3
Li,PSL-PAW-v0.x,3,,,0.017949544999463333,,0.02,0.03,0.02,0.0,0.16,0.1,0.21,0.17,0.13,0.05,3
Be,PSL-PAW-v1-low,2,30,30,0.005152626037689999,0.005152626037689999,0.08,0.14,0.15,0.08,0.1,0.08,0.1,0.09,0.1,0.06,4
Be,PSL-US-v1-low,2,30,30,0.008129434033111109,0.008129434033111109,0.09,0.15,0.16,0.09,0.11,0.08,0.11,0.1,0.1,0.07,4
Be,GBRV-1.X,4,35,35,0.0976629643620611,0.1476629643620611,0.33,0.46,0.47,0.26,0.14,0.05,0.17,0.11,0.08,0.01,4
Be,SPMS,4,45,50,0.02605525238470777,0.17605525238470776,0.22,0.15,0.11,0.15,0.14,0.02,0.17,0.1,0.04,0.12,4
Be,SG15,4,40,45,0.10832423604583552,0.20832423604583553,0.41,0.51,0.48,0.3,0.03,0.09,0.04,0.05,0.09,0.18,4
Be,JTH-1.1-std,4,35,60,0.20709507059524557,0.25709507059524556,0.4,0.44,0.43,0.27,0.44,0.28,0.24,0.28,0.32,0.09,4
Be,PSL-PAW-v1-low,4,60,90,0.005152626037689999,0.30515262603769,0.08,0.14,0.15,0.08,0.1,0.08,0.1,0.09,0.1,0.06,4
Be,PSL-US-v1-low,4,60,90,0.008129434033111109,0.3081294340331111,0.09,0.15,0.16,0.09,0.11,0.08,0.11,0.1,0.1,0.07,4
Be,PSL-PAW-v1-high,4,70,100,0.00017927965184222195,0.40017927965184225,0.04,0.1,0.11,0.05,0.07,0.06,0.09,0.06,0.07,0.05,4
Be,PSL-US-v1-high,4,80,100,0.005042815774632221,0.5050428157746322,0.08,0.14,0.15,0.07,0.1,0.07,0.1,0.09,0.09,0.06,4
Be,DOJO-041-str,4,90,100,0.12343083498811887,0.7234308349881189,0.37,0.51,0.51,0.27,0.19,0.06,0.24,0.12,0.11,0.03,4
Be,DOJO-041-std,4,,,0.19244007424796894,,0.51,0.73,0.74,0.39,0.23,0.06,0.32,0.13,0.13,0.07,4
B,PSL-PAW-v0.x,3,30,30,0.0,0.0,0.02,0.08,0.09,0.02,0.02,0.05,0.09,0.0,0.06,0.13,5
B,JTH-1.1-std,3,30,30,0.0014161985636166653,0.0014161985636166653,0.05,0.04,0.06,0.01,0.05,0.07,0.11,0.03,0.07,0.14,5
B,PSL-US-v1-high,3,30,30,0.043570125066422216,0.043570125066422216,0.2,0.34,0.29,0.18,0.09,0.08,0.1,0.11,0.11,0.09,5
B,PSL-PAW-v1-high,3,30,30,0.04960160614885886,0.04960160614885886,0.18,0.35,0.3,0.13,0.1,0.08,0.19,0.14,0.12,0.08,5
B,SPMS,3,45,50,0.009627531174202215,0.1596275311742022,0.18,0.06,0.1,0.27,0.04,0.05,0.09,0.03,0.05,0.1,5
B,SG15,3,35,35,0.18371855165759113,0.23371855165759114,0.4,0.2,0.06,0.73,0.27,0.3,0.52,0.31,0.36,0.05,5
B,DOJO-041-std,3,50,55,0.038273672833986666,0.23827367283398668,0.03,0.22,0.16,0.15,0.11,0.13,0.24,0.13,0.15,0.06,5
B,PSL-US-v0.x,3,,,0.0,,0.06,0.1,0.09,0.08,0.01,0.03,0.04,0.04,0.03,0.15,5
B,GBRV-1.X,3,,,0.02756171344070333,,0.14,0.18,0.17,0.16,0.03,0.03,0.07,0.11,0.04,0.16,5
C,GBRV-1.X,4,30,30,0.0,0.0,0.06,0.01,0.02,0.06,0.07,0.05,0.12,0.06,0.01,0.08,6
C,PSL-US-v0.x,4,30,30,0.002582635822895554,0.002582635822895554,0.12,0.09,0.08,0.23,0.01,0.04,0.1,0.01,0.04,0.1,6
C,PSL-PAW-v1-high,4,35,35,0.004364892438216663,0.05436489243821667,0.21,0.13,0.1,0.1,0.04,0.04,0.09,0.03,0.03,0.09,6
C,JTH-1.1-std,4,30,30,0.06182685022023556,0.06182685022023556,0.2,0.24,0.23,0.23,0.07,0.1,0.3,0.07,0.12,0.14,6
C,PSL-US-v1-high,4,35,35,0.016593480264283332,0.06659348026428333,0.15,0.17,0.16,0.06,0.07,0.06,0.14,0.05,0.06,0.07,6
C,SG15,4,60,65,0.002479562007623331,0.3024795620076233,0.09,0.08,0.09,0.37,0.1,0.05,0.12,0.04,0.05,0.07,6
C,DOJO-041-std,4,65,65,0.14688713127107889,0.4968871312710789,0.43,0.5,0.47,0.05,0.15,0.19,0.46,0.12,0.2,0.04,6
C,SPMS,4,65,70,0.15295069851933665,0.5029506985193367,0.45,0.52,0.48,0.07,0.16,0.2,0.47,0.12,0.2,0.04,6
C,PSL-PAW-v0.x,4,,,0.0,,0.05,0.05,0.07,0.04,0.01,0.03,0.09,0.02,0.04,0.11,6
N,DOJO-041-std,5,70,70,,,,,,,,,,,,,7
N,SG15,5,70,70,,,,,,,,,,,,,7
N,SPMS,5,70,70,,,,,,,,,,,,,7
N,JTH-1.1-std,5,45,45,,,,,,,,,,,,,7
N,PSL-PAW-v0.x,5,35,35,,,,,,,,,,,,,7
N,PSL-PAW-v1-high,5,40,40,,,,,,,,,,,,,7
N,PSL-US-v0.x,5,,,,,,,,,,,,,,,7
N,PSL-US-v1-high,5,,,,,,,,,,,,,,,7
N,GBRV-1.X,5,,,,,,,,,,,,,,,7
O,PSL-PAW-v0.x,6,40,45,0.0,0.1,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,8
O,PSL-PAW-v1-low,6,35,35,0.12305350711987734,0.17305350711987733,0.26,0.21,0.2,0.22,0.26,0.21,0.44,0.21,0.23,0.22,8
O,JTH-1.1-std,6,35,60,0.1421990772805187,0.19219907728051872,0.26,0.23,0.21,0.25,0.26,0.23,0.48,0.23,0.26,0.24,8
O,DOJO-041-std,6,70,75,0.0,0.4,0.04,0.07,0.07,0.02,0.04,0.08,0.1,0.08,0.04,0.05,8
O,SPMS,6,70,75,0.0,0.4,0.04,0.06,0.07,0.01,0.04,0.07,0.1,0.07,0.04,0.05,8
O,GBRV-1.X,6,35,35,0.3931296329256796,0.4431296329256796,0.54,0.45,0.44,0.5,0.54,0.48,0.81,0.48,0.52,0.48,8
